#,Player,Team,GP,MPG,PPG,PPG_Grade,FGM,FGA,FG%,FG%_Grade,3PM,3PA,3P%,3P%_Grade,FTM,FTA,FT%,FT%_Grade,ORB,DRB,RPG,RPG_Grade,APG,APG_Grade,SPG,SPG_Grade,BPG,BPG_Grade,TOV,PF,OVR_Grade
1332,Tyler Linhardt,IDAHO,18,16.3,8.8,72,2.8,6.1,0.455,91,1.0,3.1,0.321,81,2.2,2.8,0.8,79,0.6,1.9,2.6,65,0.4,60,0.3,66,0.3,65,1.2,1.4,73
1333,"Corey Floyd, Jr.",PROV,22,27.2,8.8,72,2.9,6.5,0.451,91,0.7,2.2,0.306,79,2.3,2.8,0.806,79,1.4,3.0,4.4,70,1.8,67,0.5,70,0.2,63,1.0,1.6,74
1334,Jayvon Maughmer,LBRTY,22,29.0,8.8,72,3.4,7.5,0.452,91,1.3,4.3,0.295,78,0.7,1.2,0.577,60,0.8,3.5,4.3,69,1.5,64,1.0,80,0.3,65,1.2,1.2,73
1335,Dexter Akanno,USU,22,23.8,8.8,72,2.9,6.1,0.47,93,1.5,3.4,0.44,93,1.5,2.0,0.773,76,0.8,2.5,3.3,67,1.3,63,0.8,76,0.0,60,0.8,1.2,75
1336,Ty Berry,NWU,22,26.5,8.8,72,3.0,7.9,0.376,85,2.1,5.3,0.393,88,0.8,1.1,0.708,69,0.5,2.5,3.0,66,1.0,62,1.5,85,0.2,63,0.6,2.2,74
1337,Bo Montgomery,UNCW,23,21.1,8.7,72,3.1,7.2,0.436,89,1.0,2.9,0.348,83,1.5,1.9,0.773,76,1.1,3.0,4.1,69,2.1,69,0.7,74,0.3,65,1.0,2.2,75
1338,Gavin Doty,SIENA,22,24.2,8.7,72,3.0,6.3,0.482,94,0.5,1.5,0.353,84,2.1,2.7,0.78,77,1.7,3.3,5.0,71,1.1,62,0.9,78,0.0,60,0.8,1.6,75
1339,Lok Wur,GCU,22,22.9,8.7,72,3.1,6.6,0.473,93,1.1,3.0,0.369,85,1.4,1.9,0.732,72,1.7,2.8,4.5,70,0.6,61,1.2,83,1.1,80,1.1,2.2,77
1340,Luke Goode,IU,22,23.6,8.7,72,2.7,6.3,0.432,89,1.9,4.5,0.42,91,1.4,1.5,0.909,89,0.7,2.0,2.7,65,0.5,61,0.5,70,0.3,65,0.4,2.3,76
1341,Blair Thompson,COM,18,23.1,8.7,72,3.0,6.1,0.495,94,1.1,2.9,0.358,84,1.7,2.2,0.769,75,2.1,3.8,5.9,73,0.8,61,1.4,84,0.1,62,0.9,2.0,76
1342,Casey Simmons,YALE,18,22.5,8.7,72,3.6,6.0,0.602,99,0.4,1.1,0.421,91,1.1,1.4,0.76,75,1.2,3.0,4.2,69,0.7,61,0.7,74,0.8,78,0.9,1.8,78
1343,Ismail Habib,PORTL,7,22.6,8.7,72,2.7,9.3,0.292,77,2.3,6.4,0.356,84,1.0,2.0,0.5,60,0.6,0.6,1.1,61,0.4,60,0.6,72,0.0,60,1.0,2.3,69
1344,Boubacar Coulibaly,PEPP,23,25.5,8.7,72,3.5,6.1,0.579,97,0.0,0.0,0.0,60,1.7,2.7,0.603,60,2.4,4.3,6.7,75,1.1,62,0.7,74,1.5,82,1.2,2.8,73
1345,Christian Watson,SOMIS,23,29.3,8.7,72,3.0,9.1,0.324,80,0.9,3.9,0.233,72,1.9,2.7,0.705,69,1.2,3.2,4.3,69,2.7,69,0.8,76,0.3,65,2.0,2.2,72
1346,Lawson Lovering,U of U,16,22.7,8.7,72,3.6,5.8,0.624,99,0.0,0.1,0.0,60,1.4,3.5,0.411,60,2.1,2.7,4.8,71,2.4,69,0.4,69,1.1,80,1.6,2.8,73
1347,Ben Michaels,BUFF,19,24.2,8.7,72,3.2,7.3,0.442,90,0.9,3.5,0.258,74,1.4,2.0,0.684,67,1.6,2.4,4.0,69,1.1,62,0.8,76,0.9,79,1.1,2.8,74
1348,Julian Rishwain,UNLV,22,30.5,8.7,72,2.9,7.6,0.377,85,2.3,6.4,0.362,85,0.6,0.9,0.7,69,0.4,2.9,3.2,67,1.8,67,1.5,85,0.1,62,0.7,2.0,74
1349,R.J. Melendez,MISST,22,21.7,8.7,72,3.0,6.7,0.449,90,0.9,3.2,0.286,77,1.8,2.3,0.78,77,1.5,2.7,4.2,69,0.9,61,1.2,83,0.4,67,1.1,1.8,75
1350,Matija Zuzic,UTM,22,25.4,8.7,72,2.8,6.6,0.418,88,2.1,5.6,0.379,86,1.0,1.3,0.759,74,0.7,2.3,3.0,66,0.8,61,0.5,70,0.4,67,0.8,1.8,73
1351,Joe Charles,MCNST,21,28.6,8.7,72,3.1,6.8,0.465,92,1.3,3.9,0.346,83,1.0,1.3,0.815,80,2.6,4.1,6.7,75,0.7,61,1.5,85,0.7,76,0.7,1.8,78
1352,Bradyn Hubbard,ACU,21,21.3,8.7,72,3.2,6.4,0.5,95,0.5,1.1,0.458,94,1.8,2.1,0.822,81,1.9,3.4,5.3,72,0.7,61,1.3,84,0.2,63,1.1,2.3,78
1353,Coen Carr,MCHST,21,21.4,8.7,72,3.2,5.3,0.604,99,0.1,0.4,0.375,86,2.1,3.2,0.672,66,1.4,2.2,3.6,68,0.4,60,0.7,74,0.7,76,1.0,1.0,76
1354,Dorian Finister,SHSU,21,27.8,8.7,72,3.1,8.6,0.361,84,0.7,2.4,0.294,78,1.8,2.6,0.685,67,1.7,4.2,6.0,74,1.5,64,0.7,74,0.5,70,1.4,1.8,73
1355,Jahmere Tripp,FORD,18,21.3,8.7,72,2.9,6.8,0.431,89,0.8,2.1,0.368,85,2.0,2.7,0.75,74,1.3,2.4,3.8,68,1.9,68,1.3,84,0.3,65,1.8,2.2,76
1356,Brendan Wenzel,TCU,18,24.9,8.7,72,2.8,7.4,0.376,85,2.0,5.2,0.383,87,1.1,1.6,0.714,70,0.3,2.7,3.1,66,0.9,61,0.6,72,0.2,63,0.6,1.4,72
1357,Ice Emery,WCU,21,24.0,8.7,72,2.8,9.3,0.301,78,1.4,5.8,0.24,73,1.7,2.2,0.745,73,0.1,2.0,2.1,64,2.0,69,1.1,82,0.0,60,1.9,1.8,72
1358,Cam Morris III,UML,23,22.1,8.7,72,3.0,5.5,0.543,96,0.2,0.9,0.2,69,2.5,3.2,0.781,77,1.2,3.4,4.6,70,1.5,64,0.7,74,0.6,74,2.0,2.3,75
1359,Hassan Diarra,UConn,22,27.8,8.6,72,2.9,6.7,0.435,89,0.8,2.8,0.274,76,2.0,2.6,0.789,77,1.2,2.2,3.4,67,6.4,94,1.5,85,0.3,65,2.1,2.3,79
1360,Karson Templin,USU,22,18.4,8.6,72,3.1,5.5,0.566,97,0.5,1.5,0.364,85,1.8,3.0,0.597,60,2.1,3.2,5.4,72,0.8,61,0.6,72,0.9,79,0.7,2.4,75
1361,Christian Jones,GW,22,22.7,8.6,72,3.1,7.1,0.433,89,1.1,2.9,0.381,87,1.4,2.0,0.698,68,0.7,1.5,2.1,64,2.6,69,1.6,86,0.2,63,1.6,1.5,75
1362,Jordan Nesbitt,UWYOM,22,27.4,8.6,72,2.7,8.5,0.323,80,1.0,3.2,0.296,78,2.2,3.2,0.69,68,1.6,5.6,7.3,78,2.0,69,0.6,72,0.3,65,2.3,2.8,73
1363,Peter Oduro,COPST,22,27.4,8.6,72,3.6,6.9,0.52,96,0.2,0.5,0.333,82,1.3,2.0,0.622,61,1.3,2.7,4.0,69,0.6,61,0.4,69,0.2,63,1.3,2.8,72
1364,Alem Huseinovic,RICE,22,27.7,8.6,72,2.9,7.6,0.375,85,2.1,5.5,0.383,87,0.8,1.2,0.667,65,0.2,1.8,2.0,64,1.0,62,0.8,76,0.0,60,1.1,1.5,72
1365,Luke Kearney,AF,22,26.9,8.6,72,2.9,7.3,0.391,87,1.6,4.8,0.333,82,1.3,1.6,0.829,81,0.8,1.9,2.7,65,0.7,61,0.5,70,0.1,62,1.2,1.9,73
1366,Dylan Branson,BELL,11,22.2,8.6,72,2.7,6.5,0.423,89,0.6,2.1,0.304,79,2.5,3.0,0.848,83,1.2,3.5,4.6,70,2.5,69,0.5,70,0.4,67,1.9,3.2,75
1367,Lazar Djokovic,C of C,19,24.3,8.6,72,3.0,6.1,0.496,94,0.2,1.3,0.12,61,2.5,3.6,0.691,68,2.5,3.9,6.5,75,0.7,61,0.9,78,0.9,79,0.9,2.0,74
1368,"Ryan Prather, Jr.",RMU,24,24.5,8.6,72,3.0,6.8,0.444,90,1.5,4.0,0.389,87,1.1,1.4,0.765,75,1.3,2.0,3.3,67,1.0,62,0.3,66,0.1,62,0.8,1.2,73
1369,Maleek Arington,SEA,21,29.7,8.6,72,2.8,6.9,0.4,88,0.5,1.8,0.263,75,2.6,4.1,0.632,62,0.6,2.1,2.7,65,4.9,79,1.8,88,0.1,62,2.3,2.1,74
1370,Anthony Dell'Orso,ARZ,21,18.8,8.6,72,2.8,6.3,0.439,89,1.7,3.8,0.438,92,1.4,1.6,0.882,87,0.5,0.9,1.4,62,1.3,63,0.6,72,0.1,62,0.7,0.8,75
1371,Jonathan Powell,WVU,21,29.2,8.6,72,3.0,8.0,0.383,86,2.1,5.9,0.363,85,0.4,0.7,0.571,60,0.7,1.7,2.4,65,0.7,61,0.6,72,0.0,60,0.6,1.2,71
1372,Randall Pettus II,NKU,23,24.0,8.6,72,2.9,7.7,0.379,85,1.4,4.6,0.305,79,1.4,2.0,0.696,68,1.3,2.0,3.3,67,1.7,66,1.7,87,0.2,63,1.7,2.5,74
1373,Donavan Yap,SJSU,23,29.3,8.6,72,2.6,7.5,0.347,82,1.4,4.1,0.351,84,2.0,2.2,0.9,89,0.3,2.3,2.6,65,2.8,69,0.7,74,0.1,62,1.7,2.3,75
1374,Tuongthach Gatkek,UALR,20,28.7,8.6,72,3.5,5.9,0.593,98,0.0,0.0,0.0,60,1.6,2.5,0.64,63,2.1,4.5,6.6,75,2.4,69,1.8,88,1.5,82,1.5,2.8,76
1375,Dashon Gittens,FIU,22,26.8,8.6,72,3.1,7.6,0.407,88,1.0,3.3,0.306,79,1.4,1.8,0.775,76,1.4,2.4,3.8,68,1.6,65,1.5,85,0.5,70,1.5,2.5,76
1376,Darius Burford,UTA,22,28.1,8.6,72,3.5,8.2,0.422,89,0.7,2.0,0.341,83,1.0,1.7,0.595,60,0.7,3.5,4.3,69,2.2,69,0.9,78,0.0,60,1.2,2.5,73
1377,Donovan Sanders,MVSU,22,32.3,8.6,72,3.5,10.3,0.335,81,0.4,2.6,0.158,64,1.3,2.1,0.609,60,0.9,2.8,3.6,68,2.6,69,1.5,85,0.1,62,2.9,2.0,71
1378,Owen Larson,SDKSU,24,28.8,8.6,72,2.9,7.7,0.38,86,1.8,5.0,0.364,85,0.9,1.0,0.88,87,0.5,3.3,3.9,68,2.5,69,1.0,80,0.3,65,1.7,2.4,77
1379,Cameron Fens,SODAK,19,18.4,8.6,72,3.3,5.8,0.568,97,0.0,0.1,0.0,60,1.9,3.3,0.587,60,2.3,2.7,5.0,71,0.4,60,0.3,66,1.1,80,0.8,2.0,71
1380,Mekhi Conner,HEART,21,29.8,8.6,72,3.0,8.1,0.376,85,1.5,4.8,0.317,80,1.0,1.3,0.714,70,0.7,2.9,3.6,68,6.2,92,2.0,90,0.1,62,2.7,2.2,78
1381,Jaylen Crocker-Johnson,COLST,21,19.8,8.6,72,3.1,6.7,0.464,92,0.9,2.7,0.333,82,1.5,1.8,0.838,82,1.4,3.2,4.6,70,0.8,61,0.2,64,0.8,78,1.1,2.3,76
1382,Kyan Evans,COLST,21,27.0,8.6,72,2.7,6.2,0.431,89,1.5,3.8,0.388,87,1.8,2.0,0.86,85,0.5,2.3,2.8,66,3.2,69,0.8,76,0.1,62,2.0,2.7,76
1383,R.J. Greene,WAGNR,21,19.5,8.6,72,2.8,7.0,0.392,87,0.0,0.2,0.0,60,3.0,4.5,0.681,67,2.1,3.0,5.1,71,1.4,63,0.5,70,0.2,63,2.3,2.2,70
1384,Jack Collins,MONM,23,35.4,8.6,72,2.6,7.6,0.343,82,1.4,5.1,0.274,76,2.0,2.5,0.776,76,1.9,4.0,5.9,73,2.4,69,1.2,83,0.3,65,1.3,2.1,75
1385,Elijah Malone,COLO,20,19.6,8.6,72,3.3,5.7,0.575,97,0.2,0.6,0.25,74,1.9,2.5,0.76,75,1.4,2.0,3.3,67,1.3,63,0.7,74,0.7,76,1.7,2.1,75
1386,Leo DeBruhl,UCD,22,28.1,8.5,72,2.7,7.7,0.353,83,1.3,3.5,0.368,85,1.8,2.2,0.833,82,0.7,2.6,3.3,67,2.6,69,1.2,83,0.0,60,2.2,2.4,76
1387,Johan Nziemi,LONG,24,17.9,8.5,72,2.8,4.5,0.606,99,0.0,0.1,0.5,99,3.0,4.6,0.649,63,1.9,2.4,4.3,69,0.4,60,0.7,74,0.6,74,1.0,1.8,77
1388,Jalen Celestine,BAYL,17,23.8,8.5,72,2.8,6.8,0.405,88,2.1,5.4,0.396,88,0.9,1.0,0.882,87,0.8,2.1,2.9,66,0.6,61,0.5,70,0.3,65,0.6,2.2,75
1389,Anwar Gill,HWRD,19,31.0,8.5,72,3.4,7.4,0.457,91,0.3,1.7,0.152,64,1.5,2.1,0.725,71,1.0,3.5,4.5,70,4.2,73,1.1,82,0.2,63,3.2,2.9,74
1390,Vukasin Masic,UP,19,24.8,8.5,72,2.9,7.4,0.393,87,1.2,3.9,0.307,79,1.5,2.0,0.763,75,0.2,2.6,2.8,66,3.2,69,0.5,70,0.0,60,1.8,1.2,73
1391,Braeden Speed,L-MD,21,28.8,8.5,72,2.8,6.4,0.44,90,0.7,2.2,0.326,81,2.2,2.8,0.793,78,0.5,2.7,3.2,67,2.6,69,1.0,80,0.5,70,1.8,1.7,76
1392,Tony Toney,UAB,23,24.5,8.5,72,3.1,6.3,0.493,94,1.4,3.3,0.421,91,0.9,1.0,0.909,89,1.1,2.2,3.3,67,1.9,68,0.7,74,0.2,63,0.5,1.7,78
1393,Liutauras Lelevicius,ORST,23,28.3,8.5,72,2.7,5.9,0.456,91,1.2,3.0,0.4,89,1.9,2.1,0.917,90,1.3,2.9,4.2,69,1.3,63,0.6,72,0.2,63,0.8,1.3,77
1394,Parker Jones,COLGT,24,28.5,8.5,72,3.0,7.4,0.41,88,1.6,4.3,0.369,85,0.8,1.0,0.87,86,1.4,3.6,5.0,71,2.0,69,1.0,80,0.7,76,1.6,1.9,79
1395,Mikey Square,CSFUL,18,24.2,8.5,72,2.6,4.3,0.597,98,0.0,0.0,0.0,60,3.4,4.1,0.836,82,2.1,1.7,3.8,68,1.3,63,0.6,72,0.7,76,1.1,2.5,74
1396,Jalen Miller,ORU,22,29.3,8.5,72,3.0,6.3,0.478,93,1.3,2.6,0.483,97,1.2,1.8,0.692,68,0.8,1.6,2.4,65,2.1,69,0.7,74,0.0,60,1.1,2.3,75
1397,Yousef Khayat,BGSU,6,21.5,8.5,72,2.7,5.0,0.533,96,0.7,1.7,0.4,89,2.5,2.7,0.938,92,0.8,2.3,3.2,67,1.0,62,0.7,74,0.7,76,0.5,2.0,79
1398,Alex Kovatchev,CSUS,4,25.3,8.5,72,3.3,8.3,0.394,87,1.5,5.3,0.286,77,0.5,0.8,0.667,65,1.3,3.8,5.0,71,0.3,60,0.8,76,0.0,60,1.3,1.5,71
1399,Ben Wight,SB,23,29.5,8.5,72,3.3,6.0,0.543,96,0.0,0.0,0.0,60,2.0,2.8,0.692,68,2.9,2.4,5.3,72,1.7,66,0.9,78,0.2,63,1.9,2.0,72
1400,Jonah Hinton,STBN,23,26.9,8.5,72,2.9,8.0,0.366,84,1.9,5.4,0.347,83,0.8,1.0,0.818,80,0.4,1.7,2.0,64,1.6,65,0.7,74,0.3,65,1.3,1.8,74
1401,Isaac Parson,NCCU,21,20.0,8.5,72,2.8,6.5,0.423,89,0.5,1.6,0.303,79,2.5,3.1,0.788,77,0.6,1.5,2.1,64,4.2,73,0.9,78,0.1,62,1.8,2.0,75
1402,Noah Ross,UNCW,19,22.7,8.5,72,3.2,6.4,0.492,94,0.5,1.7,0.303,79,1.6,2.4,0.689,67,1.7,3.8,5.5,72,1.5,64,0.4,69,0.1,62,1.1,1.8,73
1403,Evan Nelson,HAR,19,26.4,8.5,72,2.9,6.6,0.44,90,1.4,3.4,0.4,89,1.3,1.5,0.893,88,0.7,2.4,3.1,66,2.9,69,1.1,82,0.1,62,2.5,1.9,78
1404,"Carlton Linguard, Jr.",SANFR,24,21.3,8.5,72,3.3,7.4,0.446,90,1.4,4.5,0.308,79,0.5,1.0,0.5,60,1.5,2.7,4.2,69,1.0,62,0.2,64,1.0,80,1.3,2.9,72
1405,Ben Middlebrooks,NCST,20,22.2,8.5,72,2.7,5.9,0.462,92,0.2,0.8,0.267,75,2.9,4.0,0.722,71,1.9,2.7,4.6,70,1.1,62,1.1,82,1.7,85,1.2,2.9,77
1406,Jared Frey,SB,20,21.6,8.5,72,2.9,6.8,0.426,89,1.4,3.8,0.36,85,1.3,1.3,1.0,99,0.3,1.5,1.8,63,1.3,63,0.4,69,0.1,62,1.0,1.1,76
1407,Braeden Carrington,TULSA,18,27.8,8.4,71,2.4,6.9,0.344,82,1.8,5.6,0.33,82,1.8,2.7,0.673,66,1.3,3.4,4.7,70,1.9,68,1.2,83,0.7,76,0.9,1.3,75
1408,Jordan Chatman,FAMU,18,22.1,8.4,71,2.4,5.8,0.419,88,1.5,3.9,0.386,87,2.1,2.7,0.755,74,1.1,2.3,3.4,67,0.7,61,0.7,74,0.2,63,1.0,2.0,74
1409,D.J. Campbell,Cal,16,25.8,8.4,71,2.9,7.6,0.385,86,0.6,2.4,0.263,75,1.9,2.5,0.775,76,0.5,1.8,2.3,64,1.6,65,1.0,80,0.1,62,1.2,1.2,73
1410,Ace Valentine,UMBC,23,27.5,8.4,71,3.2,6.0,0.536,96,0.5,1.6,0.324,81,1.5,2.1,0.708,69,0.3,2.5,2.8,66,3.5,70,1.0,80,0.1,62,1.7,1.3,75
1411,Nick Ellington,MRRY,23,21.6,8.4,71,3.1,5.7,0.55,97,0.0,0.0,0.0,60,2.2,3.9,0.562,60,1.8,3.0,4.8,71,0.3,60,0.9,78,1.2,80,1.1,2.2,73
1412,Chris Austin,UP,23,26.1,8.4,71,2.7,6.5,0.416,88,0.8,2.1,0.388,87,2.2,3.0,0.739,72,1.0,1.7,2.8,66,1.6,65,0.4,69,0.1,62,1.2,1.6,73
1413,Sola Abedisi,CTDL,21,27.2,8.4,71,3.1,6.0,0.524,96,0.7,2.2,0.326,81,1.4,2.4,0.6,60,1.9,4.1,6.0,74,1.2,62,0.6,72,1.1,80,1.3,2.2,75
1414,Antwone Woolfolk,MIAMI,21,22.1,8.4,71,3.6,5.8,0.628,99,0.0,0.3,0.167,65,1.1,1.9,0.615,60,2.4,3.7,6.1,74,1.2,62,1.0,80,0.9,79,1.8,3.1,74
1415,Marcus Kell,WCU,21,21.3,8.4,71,2.7,6.0,0.441,90,1.0,3.1,0.323,81,2.1,3.0,0.698,68,1.7,2.3,4.0,69,0.5,61,0.5,70,0.8,78,1.6,2.4,74
1416,Diante Smith,UTA,14,20.0,8.4,71,2.9,6.5,0.44,90,1.4,3.9,0.364,85,1.3,1.4,0.9,89,1.1,2.4,3.6,68,1.4,63,0.5,70,0.4,67,1.9,2.3,76
1417,Truth Harris,RADF,24,20.5,8.4,71,2.3,5.9,0.39,87,1.2,2.5,0.475,96,2.6,3.0,0.863,85,0.3,1.9,2.3,64,1.6,65,1.1,82,0.1,62,1.7,1.9,77
1418,Christian Wright,LA,22,25.2,8.4,71,2.6,6.8,0.38,86,0.8,2.8,0.29,78,2.4,2.9,0.828,81,0.5,1.5,1.9,63,2.2,69,1.0,80,0.1,62,2.0,1.6,74
1419,Magoon Gwath,SDSU,20,25.2,8.4,71,3.2,6.6,0.481,94,0.7,1.9,0.351,84,1.5,2.2,0.674,66,2.0,3.3,5.2,72,0.8,61,0.4,69,2.5,94,1.4,2.0,77
1420,Djahi Binet,ALCST,20,25.4,8.4,71,3.2,6.5,0.488,94,0.0,0.0,0.0,60,2.1,3.1,0.689,67,3.5,3.9,7.3,78,0.4,60,0.5,70,0.8,78,2.1,3.3,73
1421,Dovydas Butka,PEPP,23,28.3,8.4,71,3.4,7.1,0.479,93,0.4,1.7,0.263,75,1.2,2.5,0.466,60,2.0,4.8,6.8,76,2.2,69,0.6,72,0.3,65,1.5,2.2,73
1422,Jamahri Harvey,PRSBY,23,26.6,8.4,71,2.8,7.4,0.376,85,1.9,5.0,0.371,86,1.0,1.1,0.846,83,0.3,1.9,2.2,64,0.8,61,0.4,69,0.2,63,1.3,2.2,73
1423,Romeo Myrthil,DART,18,30.6,8.4,71,3.3,6.8,0.484,94,1.2,3.1,0.375,86,0.7,0.9,0.75,74,1.1,3.9,5.0,71,1.9,68,0.9,78,0.3,65,0.8,1.6,76
1424,Brycen Goodine,OKLA,18,19.5,8.4,71,2.6,5.7,0.447,90,2.2,4.8,0.453,94,1.1,1.4,0.8,79,0.3,1.8,2.2,64,0.2,60,0.7,74,0.3,65,0.3,2.0,75
1425,Cli'Ron Hornbeak,KENT,21,21.6,8.4,71,3.4,5.7,0.6,99,0.0,0.0,0.0,60,1.5,2.0,0.744,73,2.5,4.0,6.5,75,0.2,60,0.6,72,1.1,80,1.2,2.7,74
1426,Collin Moore,GCU,21,25.8,8.4,71,2.7,6.0,0.441,90,1.0,2.8,0.379,86,2.0,2.8,0.712,70,1.0,2.9,3.9,68,2.0,69,2.0,90,0.6,74,1.3,2.4,78
1427,Kobe Elvis,OKLA,21,25.5,8.4,71,3.2,7.1,0.447,90,1.7,4.7,0.357,84,0.3,0.6,0.538,60,0.2,1.8,2.0,64,3.3,69,0.8,76,0.0,60,1.7,1.7,72
1428,Grant Gondrezick II,UDM,21,23.0,8.4,71,3.1,8.6,0.365,84,1.0,2.5,0.415,90,1.0,1.4,0.759,74,0.3,2.8,3.1,66,1.7,66,0.6,72,0.0,60,1.2,1.8,73
1429,Paul Jones III,WIN,24,21.0,8.4,71,2.9,7.5,0.381,86,1.8,5.7,0.324,81,0.8,1.3,0.633,62,0.5,2.3,2.8,66,0.5,61,0.4,69,0.1,62,0.6,1.6,70
1430,Mason Nicholson,JKSNV,22,25.5,8.4,71,3.5,5.3,0.658,99,0.0,0.0,0.0,60,1.4,2.2,0.625,61,2.7,5.2,8.0,80,0.5,61,0.5,70,1.4,82,0.4,1.6,73
1431,Kadin Shedrick,TEXAS,22,26.2,8.4,71,3.0,5.0,0.596,98,0.1,0.5,0.25,74,2.3,3.5,0.671,66,2.6,3.6,6.2,74,0.6,61,0.8,76,1.5,82,1.0,2.4,76
1432,"Terrance Ford, Jr.",ARKST,22,28.5,8.4,71,2.8,6.5,0.43,89,1.0,2.5,0.375,86,1.9,2.7,0.683,67,0.5,2.3,2.8,66,4.4,74,1.2,83,0.0,60,2.0,2.3,75
1433,Jeremy Clayville,STFPA,22,22.3,8.4,71,3.0,7.6,0.389,86,2.0,5.6,0.363,85,0.4,0.5,0.75,74,0.5,1.3,1.8,63,2.0,69,1.2,83,0.0,60,1.2,1.4,74
1434,Ndewedo Newbury,SANFR,11,24.2,8.4,71,3.3,7.1,0.462,92,0.8,2.3,0.36,85,1.0,1.4,0.733,72,1.5,2.8,4.3,69,2.6,69,0.7,74,1.1,80,1.6,1.6,77
1435,Marcus Greene,HAW,22,22.1,8.4,71,3.0,7.8,0.386,86,1.0,3.6,0.275,76,1.4,1.7,0.789,77,0.3,1.7,2.0,64,1.6,65,0.3,66,0.1,62,1.4,2.0,71
1436,Louis Lesmond,HAR,14,27.9,8.4,71,2.6,7.4,0.346,82,1.4,4.7,0.288,77,1.9,2.5,0.743,73,0.6,1.7,2.4,65,1.1,62,0.7,74,0.4,67,1.1,1.5,72
1437,Shammah Scott,AKR,20,23.3,8.4,71,3.0,7.0,0.432,89,1.5,3.9,0.377,86,0.9,1.2,0.783,77,0.7,3.3,3.9,68,2.2,69,0.8,76,0.3,65,1.0,1.2,76
1438,Trent Pierce,MZZOU,20,18.2,8.4,71,2.9,5.7,0.5,95,1.2,3.5,0.329,81,1.5,2.3,0.652,64,1.1,2.4,3.5,67,0.8,61,0.8,76,0.3,65,0.9,1.9,73
1439,Kellen Amos,RICE,20,24.6,8.4,71,2.5,5.6,0.438,89,0.3,1.6,0.194,68,3.2,4.7,0.677,66,1.0,2.3,3.3,67,2.9,69,0.5,70,0.5,70,2.9,2.3,72
1440,Daniel Akitoby,MORST,23,22.2,8.3,71,3.3,5.5,0.603,99,0.0,0.0,0.0,60,1.7,2.6,0.667,65,2.7,4.0,6.7,75,0.6,61,0.7,74,0.9,79,1.4,3.2,73
1441,Matteus Case,W&M,23,20.8,8.3,71,2.8,5.8,0.485,94,0.6,1.9,0.302,79,2.1,2.8,0.766,75,0.4,1.9,2.3,64,2.1,69,0.7,74,0.0,60,1.7,1.2,74
1442,Jaden Johnson,ODU,23,33.9,8.3,71,3.1,8.3,0.372,85,0.3,1.2,0.214,70,1.9,2.8,0.677,66,0.6,2.7,3.3,67,4.2,73,0.7,74,0.0,60,2.7,2.6,71
1443,Josiah Harris,RADF,24,22.0,8.3,71,3.3,6.3,0.52,96,0.0,0.0,0.0,60,1.8,3.0,0.611,60,2.9,4.5,7.4,78,0.4,60,0.5,70,1.2,80,1.2,2.7,72
1444,Jackson Sivills,WOFF,21,21.1,8.3,71,3.0,7.6,0.39,87,1.7,5.4,0.31,80,0.8,1.0,0.762,75,0.8,2.3,3.1,66,1.3,63,0.4,69,0.4,67,0.9,1.9,73
1445,Steven Jamerson II,SAND,22,23.1,8.3,71,3.3,5.9,0.554,97,0.0,0.0,0.0,60,1.8,2.7,0.661,65,3.6,4.0,7.6,79,1.0,62,1.2,83,0.7,76,1.5,3.5,75
1446,Brandon Johnson,UMFL,22,30.1,8.3,71,3.0,7.2,0.409,88,1.0,3.8,0.277,76,1.4,1.9,0.714,70,1.9,5.0,6.9,76,1.8,67,1.0,80,0.7,76,1.5,2.1,76
1447,Ben Humrichous,ILL,22,26.7,8.3,71,2.9,7.5,0.388,86,2.0,5.6,0.347,83,0.5,0.8,0.667,65,1.3,2.5,3.8,68,0.9,61,0.4,69,0.8,78,0.5,1.7,73
1448,Blue Cain,UGA,22,25.1,8.3,71,2.7,7.3,0.369,84,1.3,4.1,0.311,80,1.7,2.0,0.841,83,0.8,2.9,3.7,68,1.3,63,1.3,84,0.0,60,1.3,1.4,75
1449,Kacper Klaczek,ALBNY,23,27.4,8.3,71,3.2,7.1,0.448,90,1.0,3.5,0.284,77,1.0,1.3,0.71,70,1.6,3.2,4.8,71,1.4,63,0.9,78,0.6,74,1.1,2.6,75
1450,Brandon Whitney,MONT,23,28.9,8.3,71,3.0,5.9,0.511,95,0.5,1.4,0.364,85,1.8,2.3,0.774,76,0.6,1.6,2.2,64,2.8,69,0.7,74,0.0,60,0.8,1.2,75
1451,Denzel Hines,CCU,23,24.0,8.3,71,2.8,6.1,0.454,91,0.3,1.4,0.219,70,2.4,3.4,0.718,70,1.7,4.7,6.4,75,1.4,63,0.2,64,0.1,62,1.6,2.4,71
1452,Chris Mpaka,TARST,23,19.7,8.3,71,3.2,6.1,0.518,95,0.0,0.0,0.0,60,2.0,3.5,0.563,60,2.1,3.3,5.3,72,0.3,60,1.0,80,1.5,82,2.3,2.9,73
1453,Daniel Hankins-Sanford,UMass,17,23.5,8.3,71,3.7,7.3,0.508,95,0.2,1.4,0.174,66,0.6,1.2,0.524,60,1.8,4.4,6.1,74,0.5,61,1.2,83,0.6,74,1.1,2.8,73
1454,Miles Rubin,L-IL,21,22.7,8.3,71,3.5,5.2,0.673,99,0.0,0.0,0.0,60,1.2,2.0,0.605,60,1.6,3.1,4.8,71,1.0,62,0.4,69,2.1,91,1.6,2.9,73
