#,Player,Team,GP,MPG,PPG,PPG_Grade,FGM,FGA,FG%,FG%_Grade,3PM,3PA,3P%,3P%_Grade,FTM,FTA,FT%,FT%_Grade,ORB,DRB,RPG,RPG_Grade,APG,APG_Grade,SPG,SPG_Grade,BPG,BPG_Grade,TOV,PF,OVR_Grade
59,Hunter Sallis,WF,22,35.4,18.3,95,7.0,14.6,0.475,93,1.6,5.2,0.307,79,2.8,3.4,0.827,81,0.5,4.2,4.6,70,2.5,69,1.2,83,0.5,70,2.5,2.3,80
60,Johni Broome,AUB,19,28.3,18.3,95,7.4,14.2,0.52,96,0.8,2.6,0.306,79,2.8,4.5,0.624,61,3.9,7.3,11.2,99,3.1,69,0.7,74,2.7,97,1.3,2.1,84
61,K.C. Shaw,UMES,21,35.0,18.3,95,5.9,13.2,0.446,90,0.4,1.7,0.25,74,6.0,8.6,0.702,69,1.1,5.0,6.0,74,3.0,69,0.8,76,0.3,65,3.4,1.3,77
62,Treysen Eaglestaff,UND,24,31.3,18.3,95,6.1,15.1,0.406,88,2.4,7.2,0.335,82,3.6,4.5,0.804,79,0.6,2.1,2.7,65,2.1,69,0.9,78,0.1,62,2.2,1.5,78
63,Jalon Moore,OKLA,21,29.9,18.2,95,6.0,11.3,0.536,96,1.3,3.1,0.431,92,4.8,5.8,0.828,81,1.5,4.5,6.0,74,0.6,61,0.6,72,0.7,76,1.8,2.6,81
64,Adrian Wooley,KENN,22,32.1,18.2,95,6.3,12.4,0.511,95,2.0,5.2,0.383,87,3.6,5.0,0.725,71,1.4,3.5,4.9,71,3.3,69,1.5,85,0.1,62,3.4,2.7,80
65,Jamir Watkins,FLAST,22,29.4,18.2,95,5.3,12.4,0.425,89,1.8,5.1,0.348,83,5.9,7.8,0.75,74,1.1,4.0,5.1,71,2.2,69,1.4,84,0.6,74,2.8,3.1,80
66,Keyshawn Hall,UCF,21,32.0,18.1,95,5.6,12.9,0.435,89,1.5,4.0,0.386,87,5.3,6.5,0.824,81,2.0,4.9,6.9,76,2.6,69,0.8,76,0.4,67,2.3,2.4,80
67,Mark Sears,UA,22,32.2,18.1,95,5.0,12.3,0.404,88,2.4,6.6,0.359,84,5.8,7.0,0.831,82,0.6,2.5,3.1,66,5.0,80,1.0,80,0.1,62,2.6,1.3,80
68,Jemel Jones,CSUB,23,24.9,18.1,95,6.9,14.4,0.476,93,1.1,3.0,0.371,86,3.2,3.8,0.851,84,1.0,2.4,3.4,67,1.9,68,0.7,74,0.3,65,1.9,2.3,79
69,Geronimo Rubio De La Rosa,COM,17,31.4,18.0,95,5.8,11.9,0.485,94,2.9,7.1,0.417,90,3.5,3.9,0.896,88,0.5,2.6,3.1,66,2.5,69,1.7,87,0.2,63,1.2,1.3,82
70,"Keith Higgins, Jr.",LEHI,12,32.9,17.9,90,6.3,13.5,0.463,92,2.8,6.6,0.43,92,2.6,3.9,0.66,65,0.4,4.6,5.0,71,1.4,63,0.9,78,0.6,74,1.3,1.7,79
71,Michael Rataj,ORST,23,31.9,17.9,90,6.3,12.4,0.505,95,1.2,3.1,0.394,88,4.2,5.1,0.821,81,1.8,6.0,7.8,79,2.3,69,1.8,88,0.8,78,2.7,2.3,84
72,R.J. Felton,ECAR,22,34.1,17.9,90,6.2,15.5,0.398,87,2.1,6.5,0.324,81,3.5,4.7,0.738,72,2.3,5.2,7.5,79,2.5,69,1.4,84,0.6,74,2.1,2.1,80
73,Curtis Jones,IWAST,21,31.0,17.9,90,6.2,14.1,0.443,90,2.7,7.0,0.378,86,2.8,3.3,0.829,81,0.4,4.2,4.7,70,2.3,69,1.4,84,0.2,63,1.2,1.4,80
74,Chaz Lanier,TENN,22,30.3,17.9,90,6.2,15.0,0.412,88,3.6,8.5,0.422,91,1.9,2.4,0.792,78,0.5,2.7,3.2,67,1.0,62,1.1,82,0.1,62,1.1,1.5,78
