#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
60,Johni Broome,AUB,19,28.3,18.3,7.4,14.2,.520,0.8,2.6,.306,2.8,4.5,.624,3.9,7.3,11.2,3.1,0.7,2.7,1.3,2.1
61,K.C. Shaw,UMES,21,35.0,18.3,5.9,13.2,.446,0.4,1.7,.250,6.0,8.6,.702,1.1,5.0,6.0,3.0,0.8,0.3,3.4,1.3
62,Treysen Eaglestaff,UND,24,31.3,18.3,6.1,15.1,.406,2.4,7.2,.335,3.6,4.5,.804,0.6,2.1,2.7,2.1,0.9,0.1,2.2,1.5
63,Jalon Moore,OKLA,21,29.9,18.2,6.0,11.3,.536,1.3,3.1,.431,4.8,5.8,.828,1.5,4.5,6.0,0.6,0.6,0.7,1.8,2.6
64,Adrian Wooley,KENN,22,32.1,18.2,6.3,12.4,.511,2.0,5.2,.383,3.6,5.0,.725,1.4,3.5,4.9,3.3,1.5,0.1,3.4,2.7
65,Jamir Watkins,FLAST,22,29.4,18.2,5.3,12.4,.425,1.8,5.1,.348,5.9,7.8,.750,1.1,4.0,5.1,2.2,1.4,0.6,2.8,3.1
66,Keyshawn Hall,UCF,21,32.0,18.1,5.6,12.9,.435,1.5,4.0,.386,5.3,6.5,.824,2.0,4.9,6.9,2.6,0.8,0.4,2.3,2.4
67,Mark Sears,UA,22,32.2,18.1,5.0,12.3,.404,2.4,6.6,.359,5.8,7.0,.831,0.6,2.5,3.1,5.0,1.0,0.1,2.6,1.3
68,Jemel Jones,CSUB,23,24.9,18.1,6.9,14.4,.476,1.1,3.0,.371,3.2,3.8,.851,1.0,2.4,3.4,1.9,0.7,0.3,1.9,2.3
69,Geronimo Rubio De La Rosa,COM,17,31.4,18.0,5.8,11.9,.485,2.9,7.1,.417,3.5,3.9,.896,0.5,2.6,3.1,2.5,1.7,0.2,1.2,1.3
70,"Keith Higgins, Jr.",LEHI,12,32.9,17.9,6.3,13.5,.463,2.8,6.6,.430,2.6,3.9,.660,0.4,4.6,5.0,1.4,0.9,0.6,1.3,1.7
71,Michael Rataj,ORST,23,31.9,17.9,6.3,12.4,.505,1.2,3.1,.394,4.2,5.1,.821,1.8,6.0,7.8,2.3,1.8,0.8,2.7,2.3
72,R.J. Felton,ECAR,22,34.1,17.9,6.2,15.5,.398,2.1,6.5,.324,3.5,4.7,.738,2.3,5.2,7.5,2.5,1.4,0.6,2.1,2.1
73,Curtis Jones,IWAST,21,31.0,17.9,6.2,14.1,.443,2.7,7.0,.378,2.8,3.3,.829,0.4,4.2,4.7,2.3,1.4,0.2,1.2,1.4
74,Chaz Lanier,TENN,22,30.3,17.9,6.2,15.0,.412,3.6,8.5,.422,1.9,2.4,.792,0.5,2.7,3.2,1.0,1.1,0.1,1.1,1.5
75,Ethan Roberts,PENN,18,32.9,17.8,6.1,13.6,.447,2.4,6.3,.389,3.3,4.1,.797,1.8,4.0,5.8,2.4,0.8,0.1,2.2,2.3
76,Gibson Jimerson,STLOU,22,37.8,17.8,5.7,12.8,.448,3.0,8.2,.370,3.3,3.9,.837,0.8,3.5,4.3,0.8,0.7,0.2,1.2,1.5
77,Don McHenry,WKU,22,28.1,17.8,5.9,14.5,.406,2.1,6.5,.329,3.9,4.7,.827,0.8,2.3,3.1,1.7,1.6,0.0,1.5,1.5
78,Tyson Degenhart,BOISE,22,32.9,17.7,5.8,11.1,.520,1.1,3.8,.289,5.1,6.3,.812,1.9,4.0,6.0,1.5,0.4,0.1,1.2,2.0
79,Jordan Marsh,UNCA,22,28.3,17.7,6.5,14.2,.462,1.1,3.8,.286,3.5,4.2,.839,0.9,3.2,4.1,4.0,1.5,0.4,2.3,3.1
80,Austin Benigni,USNA,23,32.5,17.7,5.4,13.1,.414,1.0,2.9,.364,5.8,6.7,.864,0.7,2.7,3.3,4.3,0.9,0.2,2.0,2.7
81,Nique Clifford,COLST,21,34.7,17.7,6.5,13.0,.500,1.6,4.8,.337,3.0,4.0,.741,1.4,8.2,9.6,4.1,1.1,0.6,2.8,2.5
82,Blaise Threatt,WEBER,21,33.0,17.7,6.9,13.1,.522,0.7,2.2,.326,3.2,4.8,.680,1.2,4.2,5.5,4.1,2.2,0.0,1.8,2.3
83,Cedric Coward,WSU,6,32.8,17.7,5.7,10.2,.557,2.0,5.0,.400,4.3,5.2,.839,1.8,5.2,7.0,3.7,0.8,1.7,2.2,2.7
84,Simeon Cottle,KENN,22,31.1,17.6,5.2,14.2,.369,2.8,8.9,.318,4.4,4.8,.914,0.3,2.3,2.5,3.2,0.9,0.2,2.7,1.9
85,Tanahj Pettway,PVAMU,22,30.1,17.6,6.2,13.5,.459,1.6,5.0,.330,3.6,5.3,.684,1.2,2.0,3.3,1.1,1.2,0.0,2.5,2.3
86,Marquel Sutton,OMAHA,24,31.8,17.6,6.3,13.5,.466,0.8,2.8,.288,4.3,5.9,.723,1.4,6.0,7.5,1.2,0.8,0.3,1.9,2.2
87,Graham Ike,ZAGS,23,22.0,17.6,6.6,11.0,.597,0.4,1.0,.375,4.1,5.2,.783,2.1,5.1,7.2,1.4,0.7,0.5,1.7,2.9
88,Ahmad Robinson,MER,23,31.4,17.6,5.7,13.0,.440,1.8,4.9,.363,4.3,6.0,.719,0.5,4.3,4.8,5.4,2.2,0.3,3.7,2.9
89,Yaxel Lendeborg,UAB,22,31.9,17.6,6.8,12.0,.568,0.6,1.9,.333,3.3,4.6,.716,3.5,6.9,10.4,4.4,1.5,1.7,2.3,2.3
90,Josh Hubbard,MISST,22,32.0,17.6,5.6,14.1,.399,3.2,8.9,.364,3.1,3.6,.861,0.3,1.8,2.1,3.0,0.8,0.1,1.0,1.8
91,Isaiah Hawthorne,NOCOL,21,29.5,17.6,6.0,12.3,.484,2.1,5.5,.383,3.6,4.1,.862,1.0,4.7,5.7,1.2,1.2,0.5,1.7,2.1
92,Jason Edwards,VANDY,21,24.0,17.6,5.4,12.0,.452,2.0,5.3,.375,4.7,5.5,.853,0.2,2.0,2.2,1.4,0.9,0.0,1.7,1.5
93,Jaden Seymour,ETSU,23,31.2,17.6,5.9,13.3,.443,1.5,4.3,.340,4.3,6.0,.719,2.3,4.9,7.2,2.3,0.9,1.1,2.3,2.3
94,C.J. Walker,ECAR,22,31.4,17.5,6.5,12.3,.526,0.4,1.4,.290,4.2,6.0,.699,2.8,4.0,6.8,0.8,0.6,0.8,1.7,2.8
95,Dylan Darling,IDHST,18,32.5,17.5,5.1,12.0,.421,1.8,4.7,.376,5.6,6.9,.808,0.2,2.7,2.9,5.9,1.4,0.6,2.4,1.5
96,Bryce Johnson,UMBC,23,31.5,17.5,6.0,11.6,.513,1.7,4.3,.380,3.9,5.2,.750,0.7,3.0,3.7,2.7,0.9,0.7,1.3,1.6
97,R.J. Luis,STJ,22,30.2,17.5,6.3,13.8,.455,1.0,3.5,.286,3.9,5.2,.748,2.0,4.6,6.6,2.4,1.4,0.5,2.0,2.3
98,Rahsool Diggins,UMass,22,34.3,17.5,5.9,15.3,.387,2.9,8.7,.335,2.7,3.3,.833,0.7,2.2,2.9,2.7,1.2,0.3,2.3,2.1
99,Layne Taylor,UCA,20,35.5,17.4,6.1,15.5,.392,3.2,9.5,.337,2.1,2.4,.894,0.6,3.0,3.6,3.7,1.9,0.2,1.7,1.7
100,Langston Reynolds,NOCOL,21,32.6,17.4,6.7,10.8,.621,0.5,1.4,.333,3.5,5.0,.695,1.2,4.7,5.9,3.6,1.0,0.6,2.9,2.4
101,"Walter Clayton, Jr.",FLA,21,31.4,17.4,6.0,13.3,.450,2.7,7.4,.359,2.7,3.1,.864,0.3,3.0,3.3,3.8,1.3,0.5,2.4,1.8
102,R.J. Davis,UNC,23,34.8,17.3,5.7,14.3,.396,2.1,6.8,.308,4.0,4.5,.875,0.3,3.5,3.9,3.9,1.1,0.0,1.7,1.9
103,Cam Carter,LSU,21,33.0,17.3,5.7,12.7,.446,2.3,5.9,.395,3.7,4.2,.865,0.4,3.9,4.3,2.5,1.4,0.5,2.4,2.1
104,Darryl Simmons II,GWU,22,32.5,17.3,6.4,14.4,.443,3.0,6.9,.428,1.6,1.7,.947,0.5,2.6,3.1,1.9,1.0,0.1,2.0,1.7
105,Oscar Cluff,SDKSU,22,27.2,17.3,6.8,10.4,.655,0.1,0.2,.500,3.5,4.5,.788,4.4,8.4,12.8,2.9,0.4,1.0,2.1,2.0
106,Tyler McGhie,UCSD,22,30.5,17.3,6.0,13.7,.440,3.5,8.8,.399,1.7,2.0,.860,0.3,4.0,4.2,1.6,1.1,0.3,0.7,1.4
107,Shelton Williams-Dryden,UWG,23,29.4,17.3,7.3,12.7,.577,0.1,0.3,.375,2.5,3.7,.682,2.7,4.7,7.4,1.3,1.3,0.2,1.7,2.6
108,Owen Koonce,POLY,23,30.7,17.3,6.2,11.7,.534,2.0,4.9,.420,2.8,3.1,.901,1.6,3.7,5.3,1.7,1.1,0.6,2.8,2.7
