#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1385,Elijah Malone,COLO,20,19.6,8.6,3.3,5.7,.575,0.2,0.6,.250,1.9,2.5,.760,1.4,2.0,3.3,1.3,0.7,0.7,1.7,2.1
1386,Leo DeBruhl,UCD,22,28.1,8.5,2.7,7.7,.353,1.3,3.5,.368,1.8,2.2,.833,0.7,2.6,3.3,2.6,1.2,0.0,2.2,2.4
1387,Johan Nziemi,LONG,24,17.9,8.5,2.8,4.5,.606,0.0,0.1,.500,3.0,4.6,.649,1.9,2.4,4.3,0.4,0.7,0.6,1.0,1.8
1388,Jalen Celestine,BAYL,17,23.8,8.5,2.8,6.8,.405,2.1,5.4,.396,0.9,1.0,.882,0.8,2.1,2.9,0.6,0.5,0.3,0.6,2.2
1389,Anwar Gill,HWRD,19,31.0,8.5,3.4,7.4,.457,0.3,1.7,.152,1.5,2.1,.725,1.0,3.5,4.5,4.2,1.1,0.2,3.2,2.9
1390,Vukasin Masic,UP,19,24.8,8.5,2.9,7.4,.393,1.2,3.9,.307,1.5,2.0,.763,0.2,2.6,2.8,3.2,0.5,0.0,1.8,1.2
1391,Braeden Speed,L-MD,21,28.8,8.5,2.8,6.4,.440,0.7,2.2,.326,2.2,2.8,.793,0.5,2.7,3.2,2.6,1.0,0.5,1.8,1.7
1392,Tony Toney,UAB,23,24.5,8.5,3.1,6.3,.493,1.4,3.3,.421,0.9,1.0,.909,1.1,2.2,3.3,1.9,0.7,0.2,0.5,1.7
1393,Liutauras Lelevicius,ORST,23,28.3,8.5,2.7,5.9,.456,1.2,3.0,.400,1.9,2.1,.917,1.3,2.9,4.2,1.3,0.6,0.2,0.8,1.3
1394,Parker Jones,COLGT,24,28.5,8.5,3.0,7.4,.410,1.6,4.3,.369,0.8,1.0,.870,1.4,3.6,5.0,2.0,1.0,0.7,1.6,1.9
1395,Mikey Square,CSFUL,18,24.2,8.5,2.6,4.3,.597,0.0,0.0,.000,3.4,4.1,.836,2.1,1.7,3.8,1.3,0.6,0.7,1.1,2.5
1396,Jalen Miller,ORU,22,29.3,8.5,3.0,6.3,.478,1.3,2.6,.483,1.2,1.8,.692,0.8,1.6,2.4,2.1,0.7,0.0,1.1,2.3
1397,Yousef Khayat,BGSU,6,21.5,8.5,2.7,5.0,.533,0.7,1.7,.400,2.5,2.7,.938,0.8,2.3,3.2,1.0,0.7,0.7,0.5,2.0
1398,Alex Kovatchev,CSUS,4,25.3,8.5,3.3,8.3,.394,1.5,5.3,.286,0.5,0.8,.667,1.3,3.8,5.0,0.3,0.8,0.0,1.3,1.5
1399,Ben Wight,SB,23,29.5,8.5,3.3,6.0,.543,0.0,0.0,.000,2.0,2.8,.692,2.9,2.4,5.3,1.7,0.9,0.2,1.9,2.0
1400,Jonah Hinton,STBN,23,26.9,8.5,2.9,8.0,.366,1.9,5.4,.347,0.8,1.0,.818,0.4,1.7,2.0,1.6,0.7,0.3,1.3,1.8
1401,Isaac Parson,NCCU,21,20.0,8.5,2.8,6.5,.423,0.5,1.6,.303,2.5,3.1,.788,0.6,1.5,2.1,4.2,0.9,0.1,1.8,2.0
1402,Noah Ross,UNCW,19,22.7,8.5,3.2,6.4,.492,0.5,1.7,.303,1.6,2.4,.689,1.7,3.8,5.5,1.5,0.4,0.1,1.1,1.8
1403,Evan Nelson,HAR,19,26.4,8.5,2.9,6.6,.440,1.4,3.4,.400,1.3,1.5,.893,0.7,2.4,3.1,2.9,1.1,0.1,2.5,1.9
1404,"Carlton Linguard, Jr.",SANFR,24,21.3,8.5,3.3,7.4,.446,1.4,4.5,.308,0.5,1.0,.500,1.5,2.7,4.2,1.0,0.2,1.0,1.3,2.9
1405,Ben Middlebrooks,NCST,20,22.2,8.5,2.7,5.9,.462,0.2,0.8,.267,2.9,4.0,.722,1.9,2.7,4.6,1.1,1.1,1.7,1.2,2.9
1406,Jared Frey,SB,20,21.6,8.5,2.9,6.8,.426,1.4,3.8,.360,1.3,1.3,1.000,0.3,1.5,1.8,1.3,0.4,0.1,1.0,1.1
1407,Braeden Carrington,TULSA,18,27.8,8.4,2.4,6.9,.344,1.8,5.6,.330,1.8,2.7,.673,1.3,3.4,4.7,1.9,1.2,0.7,0.9,1.3
1408,Jordan Chatman,FAMU,18,22.1,8.4,2.4,5.8,.419,1.5,3.9,.386,2.1,2.7,.755,1.1,2.3,3.4,0.7,0.7,0.2,1.0,2.0
1409,D.J. Campbell,Cal,16,25.8,8.4,2.9,7.6,.385,0.6,2.4,.263,1.9,2.5,.775,0.5,1.8,2.3,1.6,1.0,0.1,1.2,1.2
1410,Ace Valentine,UMBC,23,27.5,8.4,3.2,6.0,.536,0.5,1.6,.324,1.5,2.1,.708,0.3,2.5,2.8,3.5,1.0,0.1,1.7,1.3
1411,Nick Ellington,MRRY,23,21.6,8.4,3.1,5.7,.550,0.0,0.0,.000,2.2,3.9,.562,1.8,3.0,4.8,0.3,0.9,1.2,1.1,2.2
1412,Chris Austin,UP,23,26.1,8.4,2.7,6.5,.416,0.8,2.1,.388,2.2,3.0,.739,1.0,1.7,2.8,1.6,0.4,0.1,1.2,1.6
1413,Sola Abedisi,CTDL,21,27.2,8.4,3.1,6.0,.524,0.7,2.2,.326,1.4,2.4,.600,1.9,4.1,6.0,1.2,0.6,1.1,1.3,2.2
1414,Antwone Woolfolk,MIAMI,21,22.1,8.4,3.6,5.8,.628,0.0,0.3,.167,1.1,1.9,.615,2.4,3.7,6.1,1.2,1.0,0.9,1.8,3.1
1415,Marcus Kell,WCU,21,21.3,8.4,2.7,6.0,.441,1.0,3.1,.323,2.1,3.0,.698,1.7,2.3,4.0,0.5,0.5,0.8,1.6,2.4
1416,Diante Smith,UTA,14,20.0,8.4,2.9,6.5,.440,1.4,3.9,.364,1.3,1.4,.900,1.1,2.4,3.6,1.4,0.5,0.4,1.9,2.3
1417,Truth Harris,RADF,24,20.5,8.4,2.3,5.9,.390,1.2,2.5,.475,2.6,3.0,.863,0.3,1.9,2.3,1.6,1.1,0.1,1.7,1.9
1418,Christian Wright,LA,22,25.2,8.4,2.6,6.8,.380,0.8,2.8,.290,2.4,2.9,.828,0.5,1.5,1.9,2.2,1.0,0.1,2.0,1.6
1419,Magoon Gwath,SDSU,20,25.2,8.4,3.2,6.6,.481,0.7,1.9,.351,1.5,2.2,.674,2.0,3.3,5.2,0.8,0.4,2.5,1.4,2.0
1420,Djahi Binet,ALCST,20,25.4,8.4,3.2,6.5,.488,0.0,0.0,.000,2.1,3.1,.689,3.5,3.9,7.3,0.4,0.5,0.8,2.1,3.3
1421,Dovydas Butka,PEPP,23,28.3,8.4,3.4,7.1,.479,0.4,1.7,.263,1.2,2.5,.466,2.0,4.8,6.8,2.2,0.6,0.3,1.5,2.2
1422,Jamahri Harvey,PRSBY,23,26.6,8.4,2.8,7.4,.376,1.9,5.0,.371,1.0,1.1,.846,0.3,1.9,2.2,0.8,0.4,0.2,1.3,2.2
1423,Romeo Myrthil,DART,18,30.6,8.4,3.3,6.8,.484,1.2,3.1,.375,0.7,0.9,.750,1.1,3.9,5.0,1.9,0.9,0.3,0.8,1.6
1424,Brycen Goodine,OKLA,18,19.5,8.4,2.6,5.7,.447,2.2,4.8,.453,1.1,1.4,.800,0.3,1.8,2.2,0.2,0.7,0.3,0.3,2.0
1425,Cli'Ron Hornbeak,KENT,21,21.6,8.4,3.4,5.7,.600,0.0,0.0,.000,1.5,2.0,.744,2.5,4.0,6.5,0.2,0.6,1.1,1.2,2.7
1426,Collin Moore,GCU,21,25.8,8.4,2.7,6.0,.441,1.0,2.8,.379,2.0,2.8,.712,1.0,2.9,3.9,2.0,2.0,0.6,1.3,2.4
1427,Kobe Elvis,OKLA,21,25.5,8.4,3.2,7.1,.447,1.7,4.7,.357,0.3,0.6,.538,0.2,1.8,2.0,3.3,0.8,0.0,1.7,1.7
1428,Grant Gondrezick II,UDM,21,23.0,8.4,3.1,8.6,.365,1.0,2.5,.415,1.0,1.4,.759,0.3,2.8,3.1,1.7,0.6,0.0,1.2,1.8
1429,Paul Jones III,WIN,24,21.0,8.4,2.9,7.5,.381,1.8,5.7,.324,0.8,1.3,.633,0.5,2.3,2.8,0.5,0.4,0.1,0.6,1.6
1430,Mason Nicholson,JKSNV,22,25.5,8.4,3.5,5.3,.658,0.0,0.0,.000,1.4,2.2,.625,2.7,5.2,8.0,0.5,0.5,1.4,0.4,1.6
1431,Kadin Shedrick,TEXAS,22,26.2,8.4,3.0,5.0,.596,0.1,0.5,.250,2.3,3.5,.671,2.6,3.6,6.2,0.6,0.8,1.5,1.0,2.4
1432,"Terrance Ford, Jr.",ARKST,22,28.5,8.4,2.8,6.5,.430,1.0,2.5,.375,1.9,2.7,.683,0.5,2.3,2.8,4.4,1.2,0.0,2.0,2.3
1433,Jeremy Clayville,STFPA,22,22.3,8.4,3.0,7.6,.389,2.0,5.6,.363,0.4,0.5,.750,0.5,1.3,1.8,2.0,1.2,0.0,1.2,1.4
1434,Ndewedo Newbury,SANFR,11,24.2,8.4,3.3,7.1,.462,0.8,2.3,.360,1.0,1.4,.733,1.5,2.8,4.3,2.6,0.7,1.1,1.6,1.6
1435,Marcus Greene,HAW,22,22.1,8.4,3.0,7.8,.386,1.0,3.6,.275,1.4,1.7,.789,0.3,1.7,2.0,1.6,0.3,0.1,1.4,2.0
1436,Louis Lesmond,HAR,14,27.9,8.4,2.6,7.4,.346,1.4,4.7,.288,1.9,2.5,.743,0.6,1.7,2.4,1.1,0.7,0.4,1.1,1.5
1437,Shammah Scott,AKR,20,23.3,8.4,3.0,7.0,.432,1.5,3.9,.377,0.9,1.2,.783,0.7,3.3,3.9,2.2,0.8,0.3,1.0,1.2
1438,Trent Pierce,MZZOU,20,18.2,8.4,2.9,5.7,.500,1.2,3.5,.329,1.5,2.3,.652,1.1,2.4,3.5,0.8,0.8,0.3,0.9,1.9
1439,Kellen Amos,RICE,20,24.6,8.4,2.5,5.6,.438,0.3,1.6,.194,3.2,4.7,.677,1.0,2.3,3.3,2.9,0.5,0.5,2.9,2.3
1440,Daniel Akitoby,MORST,23,22.2,8.3,3.3,5.5,.603,0.0,0.0,.000,1.7,2.6,.667,2.7,4.0,6.7,0.6,0.7,0.9,1.4,3.2
1441,Matteus Case,W&M,23,20.8,8.3,2.8,5.8,.485,0.6,1.9,.302,2.1,2.8,.766,0.4,1.9,2.3,2.1,0.7,0.0,1.7,1.2
1442,Jaden Johnson,ODU,23,33.9,8.3,3.1,8.3,.372,0.3,1.2,.214,1.9,2.8,.677,0.6,2.7,3.3,4.2,0.7,0.0,2.7,2.6
1443,Josiah Harris,RADF,24,22.0,8.3,3.3,6.3,.520,0.0,0.0,.000,1.8,3.0,.611,2.9,4.5,7.4,0.4,0.5,1.2,1.2,2.7
1444,Jackson Sivills,WOFF,21,21.1,8.3,3.0,7.6,.390,1.7,5.4,.310,0.8,1.0,.762,0.8,2.3,3.1,1.3,0.4,0.4,0.9,1.9
1445,Steven Jamerson II,SAND,22,23.1,8.3,3.3,5.9,.554,0.0,0.0,.000,1.8,2.7,.661,3.6,4.0,7.6,1.0,1.2,0.7,1.5,3.5
1446,Brandon Johnson,UMFL,22,30.1,8.3,3.0,7.2,.409,1.0,3.8,.277,1.4,1.9,.714,1.9,5.0,6.9,1.8,1.0,0.7,1.5,2.1
1447,Ben Humrichous,ILL,22,26.7,8.3,2.9,7.5,.388,2.0,5.6,.347,0.5,0.8,.667,1.3,2.5,3.8,0.9,0.4,0.8,0.5,1.7
1448,Blue Cain,UGA,22,25.1,8.3,2.7,7.3,.369,1.3,4.1,.311,1.7,2.0,.841,0.8,2.9,3.7,1.3,1.3,0.0,1.3,1.4
1449,Kacper Klaczek,ALBNY,23,27.4,8.3,3.2,7.1,.448,1.0,3.5,.284,1.0,1.3,.710,1.6,3.2,4.8,1.4,0.9,0.6,1.1,2.6
1450,Brandon Whitney,MONT,23,28.9,8.3,3.0,5.9,.511,0.5,1.4,.364,1.8,2.3,.774,0.6,1.6,2.2,2.8,0.7,0.0,0.8,1.2
1451,Denzel Hines,CCU,23,24.0,8.3,2.8,6.1,.454,0.3,1.4,.219,2.4,3.4,.718,1.7,4.7,6.4,1.4,0.2,0.1,1.6,2.4
1452,Chris Mpaka,TARST,23,19.7,8.3,3.2,6.1,.518,0.0,0.0,.000,2.0,3.5,.563,2.1,3.3,5.3,0.3,1.0,1.5,2.3,2.9
1453,Daniel Hankins-Sanford,UMass,17,23.5,8.3,3.7,7.3,.508,0.2,1.4,.174,0.6,1.2,.524,1.8,4.4,6.1,0.5,1.2,0.6,1.1,2.8
1454,Miles Rubin,L-IL,21,22.7,8.3,3.5,5.2,.673,0.0,0.0,.000,1.2,2.0,.605,1.6,3.1,4.8,1.0,0.4,2.1,1.6,2.9
1455,Andre Screen,BTLR,22,19.4,8.3,3.2,5.5,.583,0.0,0.1,.000,1.9,2.7,.700,2.1,3.9,6.0,1.0,0.2,1.5,1.9,2.3
1456,Justus Jackson,TNST,22,26.8,8.3,3.0,8.9,.338,1.5,5.0,.303,0.8,1.1,.680,0.5,2.0,2.5,3.4,0.8,0.0,2.2,1.5
1457,Mason Madsen,U of U,20,17.0,8.3,2.9,7.1,.401,2.1,5.0,.414,0.5,0.8,.667,0.4,2.3,2.6,1.2,0.8,0.2,0.8,1.2
1458,Albert Green,LATCH,20,22.8,8.3,2.8,7.0,.400,1.6,4.2,.369,1.1,1.5,.759,0.4,1.4,1.8,0.9,0.9,0.2,0.9,1.3
1459,Nasir Muhammad,NIU,16,23.3,8.3,2.4,7.3,.333,1.8,4.3,.420,1.6,2.1,.735,0.3,2.4,2.8,1.9,0.4,0.1,1.0,1.7
1460,Zach Laput,DAV,21,25.2,8.2,3.2,6.8,.469,0.8,2.7,.304,1.0,1.7,.611,1.6,2.4,4.0,2.0,0.7,0.0,1.0,2.1
1461,Seth Hubbard,U of T,21,21.0,8.2,2.7,7.3,.364,0.7,3.0,.219,2.2,2.6,.870,0.5,2.4,3.0,1.8,0.7,0.3,0.8,2.4
1462,Dae Dae Hunter,NEWOR,21,22.4,8.2,2.6,6.9,.375,1.9,4.8,.386,1.2,1.5,.813,0.1,2.1,2.3,0.6,1.0,0.1,1.0,2.4
1463,Jalen Quinn,L-IL,21,21.0,8.2,3.0,6.2,.477,0.1,0.8,.176,2.2,3.0,.742,0.3,1.3,1.7,2.2,0.7,0.2,2.0,2.7
1464,Mouhamed Sow,STPC,13,27.8,8.2,3.2,6.9,.456,0.5,1.5,.368,1.4,2.2,.621,2.1,3.2,5.2,1.5,1.0,0.5,1.0,2.4
1465,Robert Vaihola,SJSU,22,27.2,8.2,3.2,5.7,.568,0.0,0.0,.000,1.8,2.8,.639,2.4,4.7,7.1,2.0,0.5,1.5,1.8,2.4
1466,Thomas Dowd,TROY,22,23.6,8.2,2.8,6.9,.401,1.2,4.3,.277,1.5,2.3,.660,2.0,4.0,6.1,1.2,0.9,0.4,1.0,1.5
1467,Johnathan Massie,UNT,22,22.5,8.2,2.5,5.9,.423,0.5,1.6,.333,2.7,3.4,.787,1.4,3.5,4.8,0.7,1.1,0.2,1.3,1.3
1468,Jonathan Beagle,RICH,22,19.4,8.2,2.9,5.3,.538,0.1,0.3,.429,2.4,3.3,.712,0.7,3.5,4.3,2.2,0.3,0.5,1.8,2.4
1469,Brandon Huntley-Hatfield,NCST,18,21.2,8.2,2.9,5.8,.505,0.1,0.3,.333,2.2,2.9,.769,1.9,3.0,4.9,1.1,0.6,0.4,1.4,1.9
1470,D.J. Davis,UWASH,18,23.4,8.2,2.4,7.1,.339,1.6,5.2,.312,1.8,2.1,.892,0.1,1.2,1.3,1.0,0.6,0.0,1.3,1.4
1471,A.J. Smith,JMU,23,23.8,8.2,2.5,5.8,.433,0.5,1.7,.289,2.7,3.3,.805,2.7,3.6,6.3,0.7,0.9,0.6,1.4,2.3
1472,Bobby Pettiford Jr.,HP,19,20.8,8.2,3.2,5.1,.635,0.4,0.8,.438,1.4,1.7,.818,0.4,1.9,2.3,3.1,0.8,0.0,1.4,1.5
1473,Demetrius Lilley,LASAL,20,20.7,8.2,3.0,7.7,.390,1.0,3.1,.311,1.3,1.7,.735,2.1,4.8,6.9,0.6,0.7,0.3,0.7,1.8
1474,Samson Johnson,UConn,21,19.9,8.2,3.5,4.4,.793,0.0,0.0,.000,1.2,1.6,.765,1.0,2.1,3.0,1.3,0.7,1.7,1.0,2.9
1475,Terrance Arceneaux,U of H,21,21.7,8.2,3.1,6.5,.474,1.0,2.5,.404,1.0,1.4,.724,1.1,2.2,3.3,1.0,1.2,0.3,0.7,1.1
1476,Tre Holloman,MCHST,21,22.3,8.2,2.7,7.3,.373,1.3,3.9,.346,1.4,1.5,.938,0.2,1.7,1.9,3.7,0.9,0.3,1.6,1.9
1477,Shannon Grant,JKSN,21,23.9,8.2,3.3,6.1,.539,0.0,0.0,.000,1.6,2.6,.618,2.4,2.4,4.8,0.7,0.2,0.7,1.9,2.9
1478,Kobe Newton,UWYOM,21,24.8,8.2,2.6,6.3,.417,1.7,4.6,.365,1.3,1.3,.964,0.1,1.9,2.0,1.6,0.5,0.0,1.2,1.8
1479,Jy'Are Davis,SYRA,22,22.5,8.2,3.1,6.1,.515,0.4,1.1,.320,1.5,2.5,.607,1.5,3.8,5.4,1.3,0.6,0.4,1.3,1.6
1480,Jalen Hill,UNLV,22,28.4,8.2,2.6,6.1,.433,0.4,1.2,.296,2.5,3.3,.778,1.3,3.0,4.4,1.6,1.3,0.5,1.3,2.1
1481,O'Mar Stanley,BOISE,22,19.2,8.2,3.0,6.6,.452,0.2,1.2,.154,2.0,3.0,.667,1.7,3.9,5.6,0.8,0.4,1.0,1.6,2.8
1482,Jason Nelson,YSU,22,26.9,8.2,2.7,7.0,.387,1.0,3.4,.280,1.8,2.3,.765,0.4,2.0,2.4,2.7,1.0,0.0,1.9,1.9
1483,Braden Sparks,FAIR,22,23.5,8.2,2.7,8.5,.321,1.5,4.7,.308,1.3,1.7,.757,0.4,2.3,2.7,2.2,0.7,0.0,1.7,1.3
1484,Chilaydrien Newton,GRAMB,17,19.0,8.2,2.7,5.1,.535,1.6,3.2,.500,1.2,1.3,.909,0.3,1.6,1.9,1.0,0.2,0.0,0.8,1.3
1485,Donovan Draper,USNA,23,27.3,8.2,3.1,6.8,.455,0.5,2.1,.245,1.5,1.8,.829,2.3,5.4,7.7,2.2,1.2,0.8,1.9,2.6
1486,Harlan Obioha,UNCW,23,19.0,8.2,2.9,4.7,.620,0.0,0.2,.000,2.3,4.0,.593,2.3,3.5,5.8,0.8,0.6,1.2,1.7,2.6
1487,Sean Moore,UNCW,23,22.3,8.2,3.2,7.5,.428,0.9,3.1,.292,0.8,1.3,.633,1.5,4.9,6.4,1.1,1.5,0.2,1.6,1.7
1488,Jeremy Lorenz,WOFF,23,22.8,8.2,3.3,6.2,.528,0.7,2.1,.313,1.0,1.5,.676,1.3,2.6,3.9,1.7,0.6,0.6,1.3,2.4
1489,Legend Geeter,UDM,23,23.5,8.2,2.9,6.9,.421,0.6,1.6,.351,1.8,2.1,.837,1.5,2.5,4.0,1.1,0.8,0.3,1.7,2.6
1490,Cam Gregory,CAM,23,29.2,8.2,3.0,7.0,.422,0.7,2.6,.267,1.6,2.1,.735,0.3,2.1,2.3,1.7,0.9,0.0,1.4,2.0
1491,Shaqir O'Neal,FAMU,18,18.7,8.2,2.9,5.8,.510,0.8,1.9,.412,1.5,2.2,.692,0.8,2.4,3.2,0.8,0.6,0.6,1.4,2.7
1492,K.J. Adams,KU,19,28.7,8.2,3.2,6.5,.488,0.0,0.0,.000,1.8,2.3,.795,2.3,2.4,4.6,2.4,0.8,0.9,1.1,2.5
1493,Jadin Collins,MRST,19,33.3,8.2,3.3,7.1,.463,0.3,1.4,.185,1.4,2.2,.619,1.2,3.7,4.8,3.8,1.2,0.1,2.4,1.8
1494,Samson Aletan,YALE,19,21.2,8.2,3.1,5.3,.580,0.0,0.1,.000,2.1,2.9,.696,2.1,1.8,3.9,0.9,0.4,1.5,0.7,2.0
1495,Khaman Maluach,DUKE,21,20.1,8.1,3.2,4.3,.747,0.0,0.3,.143,1.6,2.1,.773,2.5,3.6,6.1,0.3,0.2,1.1,0.7,2.0
1496,"David Terrell, Jr.",UTEP,21,29.3,8.1,2.8,5.8,.484,0.4,0.7,.533,2.1,3.2,.672,0.4,3.1,3.6,3.4,1.4,0.3,2.2,3.1
1497,Pryce Sandfort,IOWA,21,21.7,8.1,2.8,6.1,.457,1.7,4.4,.387,0.8,1.2,.654,0.7,1.9,2.6,1.1,0.6,0.2,0.4,1.2
1498,Frank Fidler,MCHST,21,17.5,8.1,2.4,6.2,.385,0.4,2.3,.188,3.0,3.2,.912,1.0,2.5,3.5,1.0,0.7,0.3,0.8,0.9
1499,C.J. Noland,UNM,21,21.3,8.1,3.0,7.7,.383,1.0,3.7,.256,1.3,1.9,.675,0.8,2.3,3.0,1.5,1.3,0.3,1.0,2.6
1500,Toby Okani,WVU,21,28.5,8.1,3.3,7.5,.443,0.5,2.0,.256,1.0,2.2,.435,1.7,2.4,4.0,1.3,0.6,0.6,1.3,2.8
1501,Sharron Young,AKR,21,16.8,8.1,3.0,6.4,.463,1.5,3.6,.408,0.8,0.9,.842,0.5,1.5,2.0,2.0,1.0,0.0,1.8,2.2
1502,Dawson Baker,BYU,21,17.9,8.1,3.0,6.6,.464,1.2,3.4,.352,0.9,1.2,.692,0.4,1.6,2.0,1.5,0.5,0.0,1.0,1.4
1503,Omari Hamilton,ALCST,14,19.0,8.1,3.0,8.6,.350,1.3,4.0,.321,0.9,1.2,.706,1.4,2.3,3.7,0.6,0.5,0.1,1.4,1.1
1504,Rollie Worster,UNL,22,25.1,8.1,2.9,6.3,.453,0.4,1.6,.222,2.0,2.9,.703,0.5,3.5,4.0,2.8,1.0,0.2,1.4,1.7
1505,Aaron Scott,STJ,22,26.4,8.1,2.9,7.4,.387,1.3,4.6,.277,1.1,1.3,.862,1.9,2.6,4.5,1.0,1.4,0.5,0.6,2.6
1506,Kasen Jennings,USOFL,22,25.6,8.1,2.5,6.4,.397,1.3,3.6,.363,1.7,2.3,.745,0.4,1.5,1.8,2.0,0.6,0.0,1.2,2.5
1507,Keyshawn Mitchell,BRYNT,23,20.3,8.1,3.3,6.2,.524,0.5,1.8,.293,1.1,1.9,.581,2.4,3.7,6.1,0.8,0.4,0.6,1.0,2.1
1508,Yoav Berman,QUC,23,18.1,8.1,2.8,6.5,.430,1.3,3.2,.419,1.2,1.9,.651,0.7,2.3,3.0,1.0,0.8,0.2,1.4,1.7
1509,Afan Trnka,UTM,23,25.2,8.1,2.9,7.4,.386,1.1,3.9,.281,1.3,1.7,.750,0.6,1.4,2.0,3.1,1.0,0.3,2.3,2.3
1510,Chas Stinson,STONE,24,27.8,8.1,3.0,7.2,.410,0.1,0.8,.111,2.1,3.8,.560,1.0,3.9,4.9,2.5,1.9,0.8,2.0,2.3
1511,T.J. Nadeau,UDM,24,22.6,8.1,3.0,8.1,.364,1.4,4.0,.344,0.8,1.0,.800,1.0,2.3,3.3,0.6,0.3,0.3,1.0,2.0
1512,Lyndel Erold,BRWN,19,23.6,8.1,2.6,6.7,.386,1.4,4.1,.346,1.5,2.1,.744,0.9,2.8,3.7,1.2,0.8,0.5,0.6,2.2
1513,Cam Crawford,DUQ,19,21.4,8.1,2.8,6.6,.432,1.6,3.5,.448,0.8,1.1,.762,0.9,1.5,2.4,0.7,0.7,0.0,1.4,1.6
1514,Jack Clark,VCU,22,27.0,8.1,3.0,6.8,.433,0.9,3.8,.238,1.3,1.7,.737,1.7,5.0,6.7,2.0,0.9,0.4,1.0,2.3
1515,Henry Coleman III,TAMU,22,20.7,8.1,3.0,5.3,.569,0.0,0.0,.000,2.1,2.9,.719,2.6,2.4,5.0,0.5,1.0,0.0,0.9,1.0
1516,Giovanni Emejuru,GMU,22,18.8,8.1,3.0,4.3,.705,0.0,0.0,.000,2.0,3.5,.579,2.4,2.4,4.8,0.1,0.5,0.6,0.9,1.5
1517,Karon Boyd,ETSU,22,28.5,8.1,3.0,7.1,.423,0.4,1.9,.214,1.7,3.1,.544,3.0,4.1,7.1,1.0,0.9,0.7,1.5,3.0
1518,Preston Ruedinger,UWGB,22,33.9,8.1,2.8,6.8,.407,1.3,3.3,.397,1.2,1.6,.750,0.5,3.0,3.5,3.1,1.5,0.2,1.5,2.8
1519,Te'Jon Sawyer,MONT,22,22.0,8.1,3.0,5.6,.545,0.5,1.5,.353,1.5,2.0,.744,1.0,2.7,3.7,1.1,0.5,0.5,1.3,1.9
1520,Modestas Kancleris,UIC,23,19.7,8.1,3.3,5.1,.641,0.0,0.3,.000,1.6,2.8,.554,2.3,4.5,6.7,1.5,0.6,1.2,1.1,3.2
1521,Quinton Morton-Robertson,IPFW,23,31.2,8.1,2.7,7.4,.365,1.8,5.1,.347,0.9,1.1,.840,0.1,2.4,2.5,3.3,1.4,0.0,1.3,1.5
1522,Malcolm Chimezie,BSTN,23,21.4,8.1,3.3,5.8,.575,0.0,0.0,.000,1.4,2.8,.492,2.0,3.4,5.3,0.8,0.3,0.7,1.6,2.0
1523,Chris Mantis,MAINE,23,20.1,8.1,2.9,6.3,.452,2.0,4.8,.414,0.3,0.3,1.000,0.3,2.6,2.8,1.1,0.6,0.2,0.9,1.1
1524,Veljko Ilic,L-MD,18,17.1,8.1,3.2,5.8,.558,0.0,0.0,.000,1.6,2.9,.558,2.2,3.0,5.2,0.9,0.5,0.2,1.3,1.6
1525,Chase Lowe,W&M,19,19.9,8.1,2.5,4.8,.511,0.1,0.3,.400,3.0,4.6,.648,1.0,4.2,5.2,2.9,0.7,0.1,1.4,1.5
1526,Brant Byers,MIAMI,21,16.8,8.0,2.7,5.4,.500,1.5,3.8,.405,1.1,1.5,.742,0.6,2.2,2.8,0.4,0.7,0.4,0.5,1.5
1527,Layden Blocker,DEP,22,22.7,8.0,2.6,6.7,.385,0.6,2.1,.277,2.3,2.9,.781,0.8,2.1,2.9,2.9,1.2,0.3,1.8,2.1
1528,Dra Gibbs-Lawhorn,ILL,22,17.8,8.0,2.9,6.1,.467,1.0,3.5,.286,1.3,1.6,.806,0.9,1.1,2.0,0.4,0.5,0.0,0.8,1.7
1529,Michael Graham,HOF,23,22.3,8.0,3.8,5.5,.693,0.0,0.0,.000,0.4,1.0,.391,3.0,5.4,8.3,0.2,0.3,1.4,1.2,2.3
1530,Rahmir Barno,FGCU,23,28.3,8.0,3.3,7.2,.452,0.2,0.9,.200,1.3,1.8,.756,0.3,3.7,4.0,3.9,1.5,0.1,2.0,1.7
1531,George Marshall,MRHD,23,20.3,8.0,2.6,6.8,.378,1.1,3.6,.317,1.8,2.2,.820,0.6,2.8,3.4,0.7,0.8,0.4,0.9,1.7
1532,Chase Johnston,HP,24,21.8,8.0,2.8,5.7,.496,2.3,4.8,.487,0.0,0.1,.500,0.2,1.5,1.7,1.0,1.2,0.0,0.5,1.5
1533,Kobe Johnson,UCLA,22,28.6,8.0,2.7,5.9,.465,1.0,2.9,.359,1.5,2.2,.688,1.8,3.9,5.6,3.0,1.8,0.1,1.5,2.7
1534,Efton Reid III,WF,21,28.7,8.0,3.0,5.3,.554,0.1,0.9,.167,2.0,2.9,.683,1.9,4.1,6.0,1.0,0.6,1.1,1.5,3.2
1535,Jasper Floyd,UNT,22,29.0,8.0,2.9,6.9,.414,0.5,1.6,.286,1.8,2.5,.741,0.2,2.4,2.6,3.8,1.4,0.0,2.1,2.3
1536,Zinou Eddini Bedri,COM,16,18.2,8.0,3.3,6.1,.536,0.4,1.2,.316,1.1,1.7,.667,1.3,4.2,5.4,2.3,0.3,0.1,1.2,1.7
