Rank,Player Name,Team,Pos,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
659,Quaran McPherson,NIU,G,23,23.1,12.1,4,8.8,45.5,1.4,3.6,39,2.7,4,66.7,5,0.8,1,0,0.9
660,Tre Carroll,FAU,F,29,22.1,12.1,4.7,9,51.7,0.8,2.1,38.3,2,2.8,71.2,5.3,1.6,0.8,1,1.3
661,Deuce Jones,LAS,G,29,27.8,12.1,4,9.8,41.3,0.8,2.4,31.4,3.2,4.5,72.3,4.1,2.8,1.6,0.4,2.4
662,Ja'Sean Jackson,LAM,G,30,27.5,12.1,4.1,9.8,42,1.5,4.1,37.4,2.3,3.1,75.3,2.5,3.8,1.2,0.1,2.1
663,Zaon Collins,FRES,G,26,35,12,4.5,10.3,44,0.9,2.7,33.8,2,2.8,71.6,4.1,4.6,1.9,0.2,2.2
664,Basheer Jihad,ASU,F,29,29.8,12,3.6,8.6,41.5,0.9,3.2,29,4,5.3,75.8,5.4,1.8,1.2,0.8,2.7
665,Sincere Parker,MCN,G,29,19.7,12,4.4,9.9,44.1,1,3.6,28.8,2.2,2.8,81.3,2.4,0.6,0.8,0.2,0.8
666,Sebastian Robinson,NJIT,G,29,33,12,4.4,12.7,34.6,0.5,2.6,18.9,2.8,3.8,74.3,3.4,3.4,0.8,0.3,2.9
667,Jordan Stiemke,L-MD,G,29,28.6,12,4.3,10.7,40.2,2,6,32.9,1.4,1.8,79.2,3.5,1.1,1,1,1.2
668,Kenny Pohto,UCSB,F,30,25.6,12,4.8,7.7,63,0,0,0,2.4,3.6,66.4,6.3,1.6,0.5,0.4,2
669,Moe Odum,PEPP,G,31,32.7,12,4.2,9.7,43,1.4,4,35.5,2.2,2.7,81.2,3.1,7.3,1.3,0,2.5
670,Kendall Blue,STMN,G,31,26.7,12,4.5,8.8,51.8,1.6,3.7,43.1,1.3,1.8,73.2,4.5,2.4,1,0.4,1.6
671,Jacob Hutson,UNI,C,30,23.9,12,4,8.3,48.6,0.7,2.2,32.8,3.2,4.7,68.1,4.5,1.8,0.5,0.5,1.6
672,Robert Wright III,BAY,G,29,29.9,12,4.3,10,43,1,2.7,35.4,2.4,3.1,77.8,2.3,4.4,1.1,0.1,2.2
673,Harold Woods,NE,G,31,32.4,12,5,10.9,45.9,0.6,1.8,32.1,1.4,2.7,53,7.3,2.5,1.1,0.1,2.1
674,Kintavious Dozier,GRAM,G,27,28.6,12,4.1,9,45.3,1.4,4,34.9,2.4,3,82.5,3.8,1.9,1,0.1,1.9
675,Adam Njie,IONA,G,29,28.5,12,4.6,11,42,0.9,3,30.7,1.8,2.5,73.6,2.8,4,1.7,0.1,2.8
676,Nate Lliteras,UNF,G,32,29.5,12,4.1,8.9,46,1.7,4.7,36.2,2.1,2.8,74.4,5.3,1.2,0.7,1.2,1
677,Aden Holloway,ALA,G,29,21.3,12,4.1,8.7,47.8,2.4,5.8,42.3,1.2,1.6,78.3,2,1.8,0.6,0,1.1
678,Amiri Stewart,SHU,G,28,26.8,12,4.1,9.1,44.7,0.8,2.8,29.1,3,4.1,73,4.7,2.5,1.7,0.9,1.8
679,Will McClendon,SJSU,G,24,32.1,12,3.8,10.4,36.1,1.9,5.4,34.9,2.6,3.1,82.7,3.3,2.8,0.8,0,0.9
680,Jaden Henley,UNLV,G,24,28.3,12,4,8.8,45.2,1.1,2.9,37.1,3,3.3,88.7,4.2,1.5,1.5,0.2,1.7
681,Sean Craig,IUIN,F,31,31.8,11.9,4.1,9.7,42.1,1.7,4.7,36.6,2,2.7,75.9,7.7,1.7,1.1,0.4,1.5
682,Tre Donaldson,MICH,G,29,31.2,11.9,4.2,9.4,45.1,1.8,4.5,38.9,1.7,2.5,68.1,3.6,3.9,1,0.1,2.2
683,Matt Cross,SMU,F,28,29.3,11.9,4.2,8.5,49.2,1.6,4.1,38.8,2,2.8,70.5,7.9,1.7,1,0.5,1.6
684,Seth Trimble,UNC,G,27,29.6,11.9,4,9.1,44.1,0.9,2.9,29.9,3.1,3.8,81.4,5.3,1.4,1.4,0.3,1.1
685,Reggie Bass,LIN,G,26,31.3,11.9,3.2,8.5,36.9,1.7,5,33.1,4,4.9,80.5,3,2.6,1,0,2.2
686,Zaire Williams,WAG,G,25,30.6,11.9,4.1,10.6,38.6,1.9,5.7,33.6,1.8,2.6,69.7,3.9,1.9,1.8,0.1,1.7
687,Terence Harcum,MUR,G,31,34.7,11.9,3.9,10.9,36.2,2.1,6.6,31.6,1.9,2.5,78.9,2.4,2,1,0,1.1
688,Jamal West Jr.,NICH,F,30,25.6,11.9,4,7.9,50.8,0.1,0.5,14.3,3.8,5.4,71.4,6.4,1.2,0.6,1.5,1
689,Selton Miguel,MD,G,29,28.2,11.9,4.4,9.8,44.6,2.1,5,42.4,1,1.4,73.2,1.9,2,0.8,0.2,0.9
690,Sheldon Edwards Jr.,LUC,G,29,27,11.9,4,9.6,41.9,2.9,7.6,37.9,1,1.2,85.7,3.3,1.9,0.8,0,1
691,Tyler Harris,WASH,G,29,30.6,11.9,4.4,8.8,49.6,1.5,3.1,48.3,1.7,2.3,70.6,5,0.3,0.9,1.1,1
692,Will Riley,ILL,F,30,24.5,11.9,4.1,10,41.5,1.3,4.1,31.5,2.3,3.2,71.9,4,2.2,0.3,0.3,1.1
693,Daniel Rouzan,BCU,F,29,27.2,11.9,4.9,8.7,56.7,0.2,0.5,40,1.8,2.7,65.8,5.4,0.7,0.2,0.8,1.9
694,Tyreese Watson,ULM,G,29,32.6,11.9,3.6,9.6,37.8,0.6,1.9,28.6,4.1,5,80.8,3.2,4.3,1.7,0.1,2.4
695,Mustapha Amzil,UNM,F,26,28.1,11.8,3.8,9.6,39.6,1.3,4.5,29.7,2.9,3.9,73.5,5.4,1.3,0.7,0.8,1.4
696,Kyler Filewich,WOF,C,31,27.1,11.8,5.3,9.3,57.1,0,0.2,0,1.2,3.7,32.2,9.5,3.1,0.7,0.6,1.6
697,Chris Walker,BING,G,30,30.8,11.8,4,8.6,46.5,1.8,3.9,45.8,2,2.8,73.5,4,2.4,0.7,0.3,2.2
698,Javon Jackson,UIC,G,30,25.7,11.8,3.9,9.9,39.1,1.4,4.4,31.3,2.7,3.3,82,1.9,2.7,1.6,0.1,2.3
699,Camryn Weston,MTSU,G,29,27,11.8,4.1,10,40.8,1,3.6,28.6,2.7,3.6,73.3,3.7,3.5,1.1,0.1,2
700,Myles Rigsby,TROY,F,29,27.5,11.8,3.5,7.7,45.7,0.7,2.4,27.5,4.1,5.3,78.4,4.1,1.4,1.6,0.6,2.2
701,Tyrese Proctor,DUKE,G,28,29.1,11.8,4.1,9.4,43.7,2.3,5.6,40.8,1.3,1.8,75.5,3.2,2.3,0.8,0.1,1.1
702,Christian Ings,NORF,G,27,26.7,11.8,4,8.1,49.8,1,2.1,50,2.7,3.7,73.7,1.8,3.3,0.8,0.1,2.1
703,Kooper Jacobi,EIU,F,31,33.5,11.8,4.5,10.5,43.1,1,3.2,32.3,1.7,2.5,70.1,8.9,1.9,1.1,0.5,1
704,RaSheed Jones,CCU,G,31,30.9,11.8,4,10.2,38.9,2.1,5.9,34.8,1.8,2.3,80,3.9,2.1,0.7,0.2,1.2
705,Corey Stephenson,CSUB,G,30,26.1,11.8,4.5,9.7,46.2,0.5,1.1,45.5,2.3,2.8,81.2,5.6,1.2,1.1,0.2,2.3
706,Grant Nelson,ALA,F,29,26.2,11.8,4.2,8,53,0.6,2.5,25,2.7,4,67.2,8,1.7,0.4,1.3,1.9
707,Alvaro Cardenas,BOIS,G,29,34.7,11.8,4,9,44.4,1.4,4.3,33.9,2.3,3.2,73.9,3.3,6.9,1.5,0,2.3
708,Marcus Kell,WCU,F,29,24.7,11.8,3.8,8.2,46.4,1.5,3.8,38.7,2.7,3.5,78.2,5.4,0.7,0.5,0.9,1.4
709,Cliff Davis,RGV,G,29,30.3,11.8,4.1,11,37.7,3.2,8.7,36.7,0.3,0.6,58.8,4.6,2,1.1,0.1,1.2
710,Kobe Julien,ARST,F,27,28.3,11.8,3.8,10.1,37.5,1.1,4.2,26.3,3.1,4.3,72.4,5.4,1.6,1.4,0.8,2
711,Byron Ireland,NICH,G,27,27.6,11.8,4.5,10.9,41.2,0.8,2.3,33.3,2,2.9,71.4,3.3,2.6,0.9,0.2,1.8
712,Emanuel Sharp,HOU,G,26,26.3,11.8,3.4,7.9,43.4,2.3,5.5,42.3,2.6,2.9,90.7,2.8,1,1.4,0,0.8
713,Latrell Davis,SJSU,G,30,24.7,11.8,3.8,7.8,48.1,1.5,3.7,41.1,2.7,4.1,66.4,3.1,1.5,0.6,0,1
714,Marchelus Avery,OKST,F,29,22.3,11.8,3.9,9,43.5,1.8,5.1,35.6,2.1,3,72.1,4.6,1.3,0.8,0.6,1.3
715,Javan Simmons,TOL,F,29,28.7,11.8,4.1,7.6,53.8,0,0.1,0,3.6,4.9,73,6.7,2.3,0.6,0.6,1.6
716,Gytis Nemeiksa,HAW,F,29,22.6,11.8,3.9,8.2,47.3,0.9,3.1,29.2,3.1,4,77.8,5.8,1,0.5,0.5,1.2
717,Vasean Allette,TCU,G,29,29,11.8,4.6,12,38.1,0.6,2.6,22.7,2,2.7,75.3,4.1,3.6,1.2,0.2,2.9
718,Drake Dobbs,STMN,G,31,28.5,11.7,3.7,7,52.5,1.3,2.9,45.6,3.1,3.5,88,2.7,3.6,0.5,0.1,1.1
719,Colby Garland,LONG,G,31,29.2,11.7,4,8.4,47.1,0.7,2,34.9,3.1,3.7,84.2,2.7,4.3,0.9,0.1,1.9
720,Marcus Boykin,SHSU,G,23,28.6,11.7,3.8,9,42.5,0.7,2.3,32.7,3.3,4.2,79.4,4,4.8,1.5,0.3,2.3
721,Ahmad Henderson II,UIC,G,30,24.4,11.7,3.5,8.5,40.9,1.3,4,33.6,3.5,3.8,90.4,2.7,2.6,1.3,0,1.9
722,Chibuzo Agbo,USC,G,29,32.1,11.7,3.7,8.9,40.9,2.2,5.6,38.9,2.2,2.6,85.5,4.3,1.2,1,0.2,1.1
723,Justin Neely,ALB,F,29,25.7,11.7,4.3,8.7,49.8,0.2,1.1,22.6,2.9,3.7,78.3,7.2,1.5,0.7,0.2,1.3
724,Brendan Hausen,KSU,G,29,27.7,11.7,3.5,8.7,40.3,3,7.4,40.2,1.7,2.1,83.3,2.5,1,0.6,0.1,0.7
725,Eian Elmer,M-OH,F,28,27.6,11.7,4.4,9.1,48.2,1.8,4.5,40.2,1.1,1.6,67.4,4.9,1.3,1.5,0.8,1
726,Gyasi Powell,LIP,G,31,31.1,11.7,3.9,9.5,41.4,2.2,5.9,37.4,1.6,1.8,92.7,3.7,1.5,1.1,0.1,0.7
727,Daniel Ortiz,UNA,G,31,27.7,11.7,3.9,11.9,33.2,2.9,8.9,32.7,0.9,1.3,70.7,2.5,0.8,1.1,0.1,0.5
728,Marcus Hill,NCSU,G,29,27.9,11.7,4.7,10.1,45.9,0.3,1.3,21.6,2.1,2.9,73.5,3.8,1.6,0.8,0.1,1
729,Josh Massey,STET,F,32,25.1,11.7,4.1,7.7,52.8,0.6,1.7,37,2.9,3.7,79,4.9,1.3,0.4,0.5,1.4
730,Robby Carmody,LEM,G,24,25.9,11.7,3.5,7.9,44.7,1.6,4.1,38.8,3,3.8,80,2.5,1.1,0.9,0.3,1.3
731,Micah Thomas,NWST,G,30,25.6,11.7,3.9,9.3,41.6,1.8,4.7,39,2.1,2.3,90,2,1.4,0.8,0,1.4
732,Kalen Garry,SDST,G,30,28.7,11.7,4,9.5,42.3,1.8,5.1,35.7,1.8,2.4,73.6,3.8,2.6,0.9,0.1,1.7
733,Markhi Strickland,WMU,G,29,30,11.7,4.9,9.9,49,0.3,1,28.6,1.7,3.3,50.5,3.7,1.2,1.2,0.2,1.7
734,Jordan Sears,LSU,G,29,25.6,11.7,3.5,9.6,36.3,1.8,5.8,31,2.9,3.3,86.6,2.8,2.6,1.4,0.2,2.2
735,Lu'Cye Patterson,MINN,G,29,33.1,11.7,4.1,11,37.1,1.2,4.3,27,2.3,3.1,75.6,3.7,3.3,0.9,0.2,1.2
736,Michael Gray Jr.,NICH,G,26,23.1,11.7,3.8,8.7,43.4,2.3,5.6,41.4,1.8,2.2,81,2.6,0.7,0.7,0.2,0.8
737,Duncan Powell,GT,F,28,28.3,11.6,3.8,8.6,44.4,1.5,4,36.9,2.5,3.6,69.6,5.4,0.8,0.7,0.4,1.1
738,Khristian Lander,WKU,G,25,25.9,11.6,4.1,9.9,41.7,1.7,4.9,35.2,1.7,2.1,80.8,3.8,1.8,1,0.2,1.2
739,Trey Thomas,BGSU,G,25,30.5,11.6,4,10.5,38.5,2,5.6,35.5,1.6,2.1,75,2.5,2.2,1,0.1,1.4
740,Alex Crawford,FRES,F,27,31.9,11.6,4.6,9.1,50.2,0.7,2.3,30.2,1.8,2.6,70,4,1.3,0.9,0.8,2
741,Artese Stapleton,EIU,G,24,29,11.6,4,9.5,41.9,0.8,2.2,34,3,4,73.2,3.3,2.7,2,0.1,2.3
742,Joe Pridgen,MONT,G,30,27.7,11.6,5,8,63.2,0.2,0.7,25,1.4,2.4,56.2,6.9,1.3,0.8,0.8,1.3
743,Jordan Longino,VILL,G,30,33.5,11.6,4.1,9.1,45.4,1.4,3.8,37.4,1.9,2.2,85.1,2.3,2.2,1.1,0.2,1.2
744,Khamari McGriff,UNCW,F,30,19.2,11.6,4.9,7.4,66.4,0.1,0.1,66.7,1.7,2.5,65.8,3.9,0.7,0.4,1,1
745,Will Johnston,LMU,G,30,28.8,11.6,3.8,9.4,39.9,2,5.7,35.3,2.1,2.4,87.3,2.3,3,0.8,0,1.2
746,Elijah Lewis,MRST,G,27,30.5,11.6,3.8,9.1,41.3,0.8,3.1,26.5,3.2,3.9,82.9,4.8,1.9,0.7,0.4,1.6
747,Jaden Bradley,ARIZ,G,29,33.7,11.6,4.1,9,45,0.6,2.2,27,2.9,3.5,82.2,3.4,3.8,2,0.1,1.9
748,Cameron Shockley-Okeke,HOW,F,29,26.1,11.6,3.9,8.6,45.6,2.4,6.1,39.3,1.4,2.1,64.5,3.1,1,0.4,0.3,1.3
749,Jamiya Neal,CREI,G,29,33.1,11.6,4.6,10.3,44.5,1.3,4.3,29.8,1.1,1.9,60,6.1,4.2,0.9,0.7,2.4
750,Izaiah Pasha,DEL,G,29,29,11.6,4.4,8.3,52.9,0.5,1.6,32.6,2.2,2.9,78.3,3.8,3.6,0.8,0.5,2.8
751,Brit Harris,UPST,G,29,24.2,11.6,4.2,8.5,49,1.3,3.7,36.8,1.9,2.1,88.7,2.7,2.6,0.9,0.1,1.6
752,Zion Fruster,EIU,G,28,29.8,11.6,4.1,10.2,40.6,1.3,3.7,35,2,2.6,76.7,3.1,1.2,1,0.1,1.6
753,Nate Kingz,ORST,G,30,27.3,11.6,3.9,7.7,50.6,1.8,4.1,44.3,2,2.3,84.3,2.5,1.7,0.8,0.5,0.8
754,Alejandro Vasquez,UAB,G,29,23.1,11.6,4.3,10.3,41.3,1,3.7,26.9,2,2.2,89.2,2.7,1.5,0.5,0.2,0.9
755,KeShawn Murphy,MSST,F,29,24,11.6,4.9,8.6,56.8,0.1,0.8,16.7,1.6,2.7,60.3,7.6,1.7,0.8,1.2,1.4
756,Nicolas Louis-Jacques,COLG,G,31,29,11.5,4.1,9.3,44.3,2,5.3,37.8,1.4,1.7,80.8,1.7,1.4,0.8,0.4,1.5
757,Ring Malith,SIUE,F,31,31.1,11.5,3.9,9.7,39.7,1.3,4,31.7,2.5,3.4,76,7.3,1.4,0.9,0.7,1.6
758,Eric Dailey Jr.,UCLA,G,28,24,11.5,4.3,8.4,51.5,1,2.7,37.3,1.9,2.7,69.7,4.1,1.5,1.3,0.1,1
759,Nick Kern Jr.,PSU,G,30,25.8,11.5,4.4,7.6,57.7,0.1,0.6,23.5,2.7,3.9,67.8,5,2.3,1.2,0.4,1.8
760,Zach Hicks,PSU,F,30,31.8,11.5,3.7,8,46.7,2.4,5.8,40.6,1.7,2.1,79.7,4.8,2.1,1,0.5,0.9
761,Giancarlo Rosado,CLT,F,25,28.9,11.5,3.8,7.4,51.6,0.2,0.8,28.6,3.7,5,74.2,5.6,3.5,0.4,0.2,2.2
762,Lynn Kidd,MIA,C,27,28.9,11.5,4.9,7.4,66.2,0,0,0,1.7,2.1,77.6,7.1,1.4,0.4,0.6,1.4
763,Miles Kelly,AUB,G,29,27.6,11.5,3.8,8.8,43.1,2.4,5.8,41.1,1.6,1.7,90,3.8,1,1,0.4,0.7
764,Viktor Lakhin,CLEM,C,29,23.2,11.5,4.4,8.9,50.2,0.8,2,37.9,1.9,2.7,69.2,6.1,1.7,1,1.7,1.5
765,Jalen Lake,CSU,G,29,30.9,11.5,4.1,9.7,42.2,1.9,5.6,34.4,1.4,1.5,90.9,2.9,2,0.6,0.3,1.2
766,Taye Fields,UNA,G,31,28.9,11.5,4.5,8.2,55.3,0.3,0.8,38.5,2.2,2.9,75.3,8.5,3.5,1.5,1,1.4
767,Caleb Kenney,HC,F,30,27.4,11.5,4.9,9.1,53.8,0,0,0,1.7,2.7,63,4.8,1.3,0.7,0.9,2.1
768,Daniel Rivera,MASS,F,28,28.3,11.5,4.3,9.8,43.4,0.1,0.8,19,2.9,5,57.1,7.3,1.8,1.2,1.4,1.5
769,Isaiah Moses,UCR,G,30,26.3,11.5,3.9,9.5,41.3,1.6,4.6,35.5,2,2.1,93.8,1.8,2.9,0.8,0,1.7
770,AJ Ferguson,MUR,G,31,35.5,11.5,3.8,8.1,47,1.2,3.1,37.1,2.7,3.9,70,5.7,1.4,0.9,0.5,1.8
771,Jack Doumbia,WRST,F,31,23.2,11.5,4.5,8.6,52.4,0.1,0.4,25,2.4,3.7,62.9,5.5,1.6,1,0.8,2.3
772,Jalen Cox,COLG,G,29,28.4,11.5,4.3,8.8,48.8,0.6,2.2,25.4,2.3,2.9,78.8,4.4,3.9,1.7,0.1,2.7
773,Connor Withers,BRY,F,30,34,11.5,3.7,9.4,39.1,2.3,6.9,33.7,1.8,2.2,83.1,5.4,3,1.6,1.5,2
774,AJ Smith,COFC,G,28,25.4,11.5,4.1,9.5,43.8,0.6,2.5,23.2,2.6,3.4,76,3.2,0.8,0.7,0,1.2
775,Elijah Hutchins-Everett,JMU,C,31,24.8,11.5,4.1,7.7,53.3,0.4,1.5,25.5,2.8,3.5,79.1,5.9,0.8,0.5,0.7,1.5
776,John Buggs III,ETSU,G,25,30.1,11.4,3.9,9.3,42.2,2.7,6.5,41.1,0.9,1.2,74.2,2.4,1.4,0.7,0.1,0.6
777,Justin Hohn,UCI,G,30,29.1,11.4,4,10.4,38.3,1.9,4.9,38.4,1.6,2,77,3.1,3.6,1.5,0,2.6
778,Scooter Williams Jr.,ETAM,G,30,24.8,11.4,3.9,9.4,41.1,1.2,4.7,24.8,2.5,3.5,73.1,2.9,2.5,1.2,0.7,2.7
779,Joson Sanon,ASU,G,24,27,11.4,4.1,9.9,41.6,1.8,4.6,38.2,1.4,2,70.8,3.2,1.1,0.5,0.2,1.4
780,Kyler Vanderjagt,CMU,G,29,27.6,11.4,4,8.2,48.5,1.4,3.6,39.8,2,2.6,78.4,2.2,1.2,1,0.1,1.4
781,Jalyke Gaines-Wyatt,ALCN,PG,27,28.6,11.4,3.7,10.2,36.7,1.1,3,36.6,2.8,3.7,76,2.2,3,0.9,0.1,2.5
782,Zavian McLean,FGCU,G,31,29.1,11.4,4.4,8.1,54,1,3,34.8,1.6,2.5,62.8,4.2,1.9,0.9,0.2,1.1
783,Dylan Arnett,CLE,F,31,28.5,11.4,4.8,7.6,63.1,0,0,0,1.8,2.9,61.8,7.4,1.5,0.8,1.3,1.6
784,Christian Coleman,UAB,F,29,26.9,11.4,4.6,8.7,52.8,0,0,0,2.2,3.2,68.1,7.3,1.4,0.9,0.8,1.5
785,Cord Stansberry,WCU,G,29,29.9,11.4,3.6,9.3,38.4,1.8,5.6,31.7,2.4,2.7,92.2,3.8,1.6,0.9,0.1,2
786,Kristian Gonzalez,IDHO,G,29,25.3,11.4,4,8.9,44.6,1.6,4.5,35.9,1.8,2.2,81.5,2.6,1.2,0.6,0.2,1
787,Elijah Mahi,SCU,F,29,23.9,11.4,4.3,8.8,48.4,1.1,2.4,45.7,1.7,2.6,66.7,4.2,2.6,0.7,0.3,1.7
788,Jaylen Smith,UNF,G,32,27.5,11.4,3.8,9.2,41.4,1.9,5.6,34.6,1.8,2.7,68.2,2.1,5.7,1.3,0.1,2.7
789,Gerald Drumgoole Jr.,GW,G,30,26.8,11.4,3.6,10.5,34.6,2,6.7,30,2.1,2.9,72.4,2.8,1.2,0.8,0.3,1.5
790,Nolan Hickman,GONZ,G,31,29.9,11.4,4.2,8.7,48.7,2.3,5.2,44.4,0.6,0.6,95,2.6,2.2,1,0.3,1
791,Juwan Maxey,YSU,G,31,25.8,11.3,3.3,8.6,37.8,2.2,6.5,34.3,2.6,3.3,78.4,2.5,2.2,0.7,0.1,1.1
792,Brendan Terry,SEMO,F,31,23,11.3,4.4,6.5,66.8,0,0,100,2.6,3.7,69,4.3,1.3,1.3,0.7,1.7
793,J'Wan Roberts,HOU,F,28,30.5,11.3,4.7,9.1,51.6,0,0,0,2,3.1,64,6.3,1.8,0.9,0.8,1.6
794,Zoom Diallo,WASH,G,29,24.8,11.3,4.4,9.1,48.7,0.2,1,20.7,2.3,3.2,71.7,3.1,2.7,0.4,0.2,2.1
795,Kylan Boswell,ILL,G,30,30.2,11.3,3.6,9,39.5,0.9,3.9,22.2,3.3,4.1,80.5,5,3.3,1.2,0.3,2.1
796,Jaron Rillie,UNCO,G,30,31.9,11.3,4.1,8.5,48.8,1.4,3.5,39,1.7,2,83.3,5.5,4.7,1,0.1,1.7
797,Nendah Tarke,TOW,G,31,26.2,11.3,3.5,9.1,38.5,1.1,3.6,30.4,3.2,4.7,66.7,4.6,1.4,1.2,0.2,1.3
798,Kendal Coleman,CBU,F,28,25.5,11.3,4.3,8.3,51.9,0.9,2.3,37.5,1.9,2.5,73.2,8.4,0.7,0.3,0.6,1.6
799,Tru Washington,UNM,G,28,27.4,11.3,4.1,9.5,43.1,1.4,3.7,37.5,1.7,2.7,61.8,3.9,1.9,2.2,0.3,1.3
800,Kolton Mitchell,IDHO,G,30,30.2,11.3,3.8,9.1,42.1,1.7,4.6,36.7,1.9,2.1,90.5,2.5,3.5,1.5,0,1.9
801,Jamie Phillips Jr.,STET,G,25,30,11.2,3.8,8.5,45.1,1,2.7,36.8,2.6,3.6,71.1,4.2,2,0.6,0.1,1.4
802,Joe Anderson,LIP,G,31,31.2,11.2,4.2,9.1,45.7,2,5.3,37.4,0.9,1.1,82.9,3.5,4,2.2,0.1,1.5
803,AJ McKee,MILW,G,31,29.9,11.2,4,9.7,41.1,1.2,4.1,29.7,2,2.8,71.3,2.8,1.7,1.2,0.3,1.5
804,Nolan Minessale,STMN,G,31,26.5,11.2,4.2,7.5,56,0.5,1.5,29.2,2.4,3.3,73.3,3.7,2.1,1.1,1.1,1.3
805,Antwan Burnett,GRAM,G,23,30.9,11.2,4,9.5,42,1.1,3.1,35.2,2.1,3.3,65.3,5.7,1.6,1.1,0.1,2.1
806,Omar Croskey,SCST,G,28,23.4,11.2,3.8,9.3,41,1.8,5,36.2,1.8,2.5,69,3.6,1.3,1.2,0.1,1.2
807,Koby Brea,UK,G,29,26.6,11.2,3.9,8.4,46.1,2.6,5.9,44.1,0.9,1,89.7,3.2,1.2,0.5,0.3,0.4
808,Gavin Walsh,BING,F,29,32.9,11.2,3.7,8.6,43.1,0.7,2.4,29,3.1,5,62.8,10.9,1.8,0.9,0.3,1.9
809,Hayden Gray,UCSD,G,30,31.4,11.2,4.2,8.7,48.3,1.7,4,42.1,1.1,1.6,68.8,3.2,3.4,3.4,0.2,1.4
810,Trey Campbell,UNI,G,31,29.2,11.2,3.9,9.5,41.4,2.1,5,42.9,1.2,1.5,82.2,4.1,3,1.4,0.5,1.6
811,Isaac Jessup,CP,G,26,30.9,11.2,3.8,8.5,45,3,6.9,42.8,0.6,0.8,76.2,3.4,2.5,1.5,0.1,1.3
812,Caden Pierce,PRIN,F,27,32,11.2,4.3,9.3,45.6,0.9,2.6,32.4,1.8,2.7,66.2,7.4,3.2,1,0.3,2
813,Eddie Lampkin Jr.,SYR,C,29,29.9,11.2,4.6,8.1,57,0.1,0.2,40,1.9,3,62.8,9.6,2.3,0.4,0.5,2.1
814,Phillip Russell,VCU,G,29,23.9,11.2,3.5,8.4,41.2,2.1,5.8,36.1,2.1,2.6,81.3,1.7,2.3,1.2,0,1.4
815,Yuri Covington,UML,G,30,28.4,11.2,3.6,8.7,41.9,1.7,4.9,34.5,2.2,2.5,86.8,3.9,1.3,0.5,0.2,1.5
816,Avery Brown,COLU,G,26,27.5,11.2,3.5,9.1,38.4,0.6,2.5,23.4,3.6,4.6,77.5,2,2.8,1.1,0.3,1.9
817,Chad Moodie,AAMU,F,27,27.9,11.1,4.6,8.5,53.7,0,0.2,0,2,4.9,41.7,6,1.4,0.8,1.8,2.6
818,Rylan Jones,SAM,G,31,28.3,11.1,3.7,8.3,44.5,2.3,5.7,40.7,1.5,1.9,75,3.4,5.1,1.6,0.1,2.3
819,Dillon Bailey,WOF,G,31,28.4,11.1,3.4,8.3,40.5,1.9,5.7,33.5,2.5,3.1,82.1,2.4,1.5,0.8,0,1.5
820,Simas Lukosius,CIN,G,27,27.5,11.1,3.7,9.4,39.6,2.2,6.1,35.8,1.4,1.8,79.6,3,2.2,0.9,0,1.4
821,Wesley Robinson,MAN,G,27,29.7,11.1,3.8,8.3,45.3,1.4,3.5,39.4,2.2,2.7,80.8,5.9,1.9,0.7,0.5,1.5
822,JoJo Moore,ORU,G,27,27.3,11.1,4.3,8.6,49.8,0.6,1.6,34.9,2,3.2,64,4.5,2.1,0.7,0.6,1.4
823,Dug McDaniel,KSU,G,28,31.7,11.1,4.5,11.8,38.3,1.1,4.2,26.3,1,1.5,68.3,2.7,4.9,1.7,0,2.5
824,Jayden Taylor,NCSU,G,29,29.6,11.1,3.8,9.1,41.3,1.4,4.2,32.5,2.2,2.9,75.3,2.9,1.6,1.4,0.3,1.7
825,Dwayne Koroma,LEM,F,30,28.4,11.1,4.7,6.7,70.6,0.2,0.5,35.7,1.5,3.1,46.8,7.2,2,1.3,0.2,2.5
826,MJ Thomas,UNO,F,30,28.4,11.1,3.9,8.1,48.3,0,0,0,3.3,4.7,69.7,7.9,1.1,0.9,0.8,1.5
827,LA Pratt,NE,G,30,31,11.1,4.5,10.6,42.6,1.3,4.7,28.2,0.8,1.1,71.9,3.6,2.5,1.4,0.1,1.5
828,Brayden Fagbemi,CARK,G,30,32.8,11.1,3.9,10.6,37.2,1.5,5.4,28.4,1.7,2.1,81,4.1,4.7,1.5,0,2.5
829,Nikolaos Chitikoudis,NCAT,F,27,29,11.1,5,9,54.9,0,0,0,1.1,2.7,43.1,9.3,1.7,1,1.4,1.9
830,Kaden Gumbs,TXST,G,27,30.4,11.1,4.1,9,45.1,0.5,1.3,38.2,2.4,2.8,86.8,3.4,4.1,1.5,0.2,2.2
831,Shaquil Bender,MAN,G,27,32.1,11.1,4.4,12,37.2,1.2,5.1,23.7,1,1.1,83.9,3.6,2,1,0.1,2
832,Ray Harrison,GCU,G,28,31.2,11.1,3.5,9,38.3,1.4,3.8,36.2,2.8,3.1,88.6,3,2.9,1.1,0.2,1.7
833,Mikale Stevenson,GRAM,G,28,32.4,11.1,3.8,8.8,42.5,0.9,2.7,32.9,2.7,3.5,76.5,4.3,3.9,1.8,0.1,2.6
834,Stevie Mitchell,MARQ,G,29,26.2,11.1,4,8,49.8,0.9,2.4,37.7,2.2,3,73.9,4.1,1.7,2.4,0.1,0.9
