Rank,Player Name,Team,Pos,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
1980,AJ Storr,KU,G,29,15.7,5.9,2.2,6,37.6,0.6,2.3,26.5,0.8,1.2,63.9,1.8,0.7,0.3,0.1,0.9
1981,David Dixon,DUQ,F,29,18.4,5.9,2.3,4.2,54.5,0.2,0.7,30,1.1,1.6,66,5,0.8,0.8,1.4,1.5
1982,Junjie Wang,SF,F,29,19.2,5.9,2,4.9,41.5,0.9,2.9,29.8,1,1.6,59.6,2.9,0.6,0.2,0.2,0.8
1983,Brock Felder,SUU,PF,29,23.1,5.9,2.5,4.1,61.3,0,0.1,0,0.9,1.3,67.6,6.1,1,0.6,2,1.1
1984,Jordan Derkack,RUTG,G,28,17.9,5.9,1.5,4.1,36.5,0.4,1.5,26.8,2.5,3.4,74.5,2.9,1.7,0.8,0.1,1.4
1985,Aday Mara,UCLA,C,28,12.5,5.9,2.3,4,58.6,0,0,0,1.3,2.3,55.6,3.7,0.9,0.2,1.4,0.8
1986,Zion Walker,RAD,G,27,11.3,5.9,2,4.3,47.8,0.3,0.9,39.1,1.5,1.7,85.1,1.1,1,0.3,0,0.7
1987,P.J. Eason,GRAM,F,27,22.9,5.9,2.3,4.8,48.5,0,0,0,1.2,2,62.3,5.7,0.7,0.9,1.3,1.4
1988,Ty-Laur Johnson,WAKE,G,26,23.8,5.9,1.9,5.3,35.3,0.4,1.9,22,1.7,2.1,81.5,2,2.8,1.6,0.3,2.4
1989,Osiris Grady,UVU,F,26,18,5.9,2.4,4.9,48.8,0.3,1,36,0.8,1.3,57.1,2.8,0.9,0.1,0.5,1
1990,Knute Wood,TNST,G,24,22.2,5.9,1.8,4.5,40.2,1.5,3.5,41.7,0.8,1.1,76.9,1.7,1.7,0.5,0,1
1991,Matthew Robinson,CHST,G,31,29.5,5.9,2,5.9,34.2,1.4,4.1,32.8,0.5,0.7,60.9,2.1,1.3,1.5,0.4,1
1992,Max Weisbrod,UNI,G,31,24,5.9,2.1,5,41.6,1.4,3.5,40.2,0.4,0.5,78.6,1.8,1.5,0.5,0.1,0.9
1993,Matthew Sells,TNTC,G,30,19.3,5.9,1.7,3.9,44.4,1.6,3.6,44.4,0.8,0.9,88.9,1.4,1.3,0.3,0,0.8
1994,Rueben Chinyelu,FLA,C,29,19.5,5.9,2.6,4.3,58.7,0,0,0,0.8,1.3,59.5,6.3,0.8,0.5,1,1
