#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
135,Jalen Terry,EMICH,26,37.2,16.8,5.8,12.6,.460,2.9,7.5,.387,2.3,2.6,.868,0.6,4.2,4.8,3.0,1.6,0.4,2.6,2.4
136,Rahsool Diggins,UMass,28,34.5,16.8,5.8,15.7,.369,2.7,8.7,.313,2.5,3.0,.821,0.7,2.1,2.8,2.6,1.1,0.3,2.2,2.0
137,Payton Sandfort,IOWA,27,31.5,16.7,5.6,13.6,.409,2.6,7.5,.345,3.0,3.4,.882,1.0,5.0,6.0,2.9,0.7,0.6,1.9,2.6
138,Owen Freeman,IOWA,19,26.5,16.7,7.1,11.1,.638,0.3,0.8,.313,2.4,3.9,.600,2.1,4.7,6.7,1.3,0.6,1.8,1.8,2.7
139,Xaivian Lee,PRIN,26,31.7,16.7,5.9,13.5,.438,1.8,5.0,.351,3.1,4.0,.779,1.0,4.9,5.9,5.0,1.2,0.4,2.2,2.2
140,Erik Reynolds II,STJOE,27,34.0,16.7,5.8,14.3,.403,2.7,8.7,.312,2.4,2.7,.892,0.4,2.3,2.7,2.5,0.8,0.4,1.4,1.7
141,Jacari Lane,UNA,29,33.4,16.7,5.8,14.0,.411,1.8,4.9,.371,3.3,4.3,.776,0.7,2.6,3.3,4.3,1.4,0.1,1.9,1.5
142,Denijay Harris,SOMIS,28,34.5,16.7,5.6,11.6,.486,0.6,2.0,.316,4.8,6.5,.727,2.4,8.6,11.0,1.4,0.6,1.5,2.7,1.6
143,Langston Reynolds,NOCOL,28,32.9,16.7,6.5,10.9,.602,0.5,1.3,.351,3.1,4.7,.672,1.1,4.8,5.9,3.6,0.9,0.6,2.8,2.4
144,Jamir Simpson,SUU,27,31.9,16.7,5.5,12.9,.427,1.3,3.6,.361,4.4,5.4,.815,1.2,3.6,4.8,1.9,0.4,0.1,2.8,1.7
145,Josh Pascarelli,MRST,25,34.4,16.6,6.2,13.0,.481,2.8,6.4,.431,1.4,1.9,.729,0.4,3.2,3.6,2.4,0.8,0.1,1.7,1.2
146,Orlando Lovejoy,UDM,27,35.6,16.6,6.2,13.8,.449,0.1,0.6,.250,4.1,4.7,.867,1.3,3.7,4.9,3.8,1.7,0.1,2.5,1.9
147,Obi Agbim,UWYOM,27,31.3,16.6,6.0,12.1,.494,2.6,5.5,.470,2.1,2.7,.781,0.4,2.5,2.9,3.1,0.9,0.3,2.0,2.0
